award_name,fund_count,wins,avg_position,position_sum,win_rate,weighted_avg_position,cn_name,cn_name_plot
Magnate,173,126,1.2716763005780347,220.0,72.83,1.3054187192118227,自动化巨头,自动化巨头
Space Baron,223,156,1.3004484304932735,290.0,69.96,1.3241106719367588,太空枭雄,太空枭雄
Cultivator,164,116,1.2926829268292683,212.0,70.73,1.324742268041237,绿化妙手,绿化妙手
Celebrity,195,136,1.3025641025641026,254.0,69.74,1.3288888888888888,名媛雅士,名媛雅士
Warmonger,30,25,1.1666666666666667,35.0,83.33,1.3333333333333333,战争贩子,战争贩子
Landlord,150,102,1.32,198.0,68.0,1.35,地产大亨,地产大亨
Desert Settler,143,96,1.3286713286713288,190.0,67.13,1.3583815028901733,沙漠定居者,沙漠定居者
Benefactor,264,173,1.3446969696969697,355.0,65.53,1.3605442176870748,火星改造王,火星改造王
Voyager,39,29,1.2564102564102564,49.0,74.36,1.3623188405797102,远征者,远征者
Excentric,198,130,1.3434343434343434,266.0,65.66,1.3640350877192982,特立独行,特立独行
Contractor,151,100,1.3377483443708609,202.0,66.23,1.3646408839779005,营造巨贾,营造巨贾
A. Manufacturer,54,38,1.2962962962962963,70.0,70.37,1.369047619047619,制造商,制造商
Entrepreneur,66,45,1.3181818181818181,87.0,68.18,1.375,企业家,企业家
Scientist,221,141,1.3619909502262444,301.0,63.8,1.3784860557768925,科技巨擘,科技巨擘
Venuphile,301,190,1.3687707641196014,412.0,63.12,1.3806646525679758,金星爱好者,金星爱好者
Estate Dealer,164,105,1.3597560975609757,223.0,64.02,1.3814432989690721,海景房,海景房
Curator,30,22,1.2666666666666666,38.0,73.33,1.3833333333333333,馆长,馆长
Banker,251,157,1.3745019920318724,345.0,62.55,1.387900355871886,金融巨头,金融巨头
Botanist,39,27,1.3076923076923077,51.0,69.23,1.391304347826087,植物学家,植物学家
Industrialist,157,98,1.375796178343949,216.0,62.42,1.3957219251336899,杰出实业家,杰出实业家
Biologist,44,29,1.3409090909090908,59.0,65.91,1.4054054054054055,生物学家,生物学家
Urbanist,48,30,1.375,66.0,62.5,1.4230769230769231,城市规划师,城市规划师
Naturalist,40,25,1.375,55.0,62.5,1.4285714285714286,自然主义者,自然主义者
Edgedancer,32,20,1.375,44.0,62.5,1.435483870967742,边缘舞者,边缘舞者
Miner,145,84,1.4344827586206896,208.0,57.93,1.4457142857142857,矿业大亨,矿业大亨
Tourist,35,21,1.4,49.0,60.0,1.4461538461538461,旅游者,旅游者
A. Zoologist,44,25,1.4318181818181819,63.0,56.82,1.4594594594594594,A. 动物学家,A. 动物学家
Thermalist,207,101,1.5120772946859904,313.0,48.79,1.510548523206751,热能魁首,热能魁首
Rugged,31,14,1.5483870967741935,48.0,45.16,1.5245901639344261,坚韧者,坚韧者
