award_name,fund_count,wins,avg_position,position_sum,avg_score,available_count,fund_rate,win_rate,weighted_avg_position,cn_name,cn_name_plot
Benefactor,832,436,1.6694711538461537,1389.0,114.39302884615384,2401,34.65,52.4,1.6983758700696057,火星改造王,火星改造王
Cultivator,558,278,1.7078853046594982,953.0,109.81003584229391,1562,35.72,49.82,1.748299319727891,绿化妙手,绿化妙手
Estate Dealer,553,286,1.7233273056057865,953.0,112.75768535262206,1889,29.27,51.72,1.7632933104631219,海景房,海景房
Excentric,671,317,1.758569299552906,1180.0,116.66169895678092,2512,26.71,47.24,1.7902995720399428,特立独行,特立独行
Landlord,556,272,1.7553956834532374,976.0,109.35431654676259,1639,33.92,48.92,1.7935153583617747,地产大亨,地产大亨
Magnate,580,298,1.7741379310344827,1029.0,122.72068965517241,2475,23.43,51.38,1.8098360655737704,自动化巨头,自动化巨头
Celebrity,663,321,1.7812971342383108,1181.0,118.15686274509804,2982,22.23,48.42,1.8124098124098125,名媛雅士,名媛雅士
Scientist,720,338,1.7958333333333334,1293.0,117.36944444444444,2872,25.07,46.94,1.824,科技巨擘,科技巨擘
Desert Settler,567,266,1.7971781305114638,1019.0,107.64726631393297,1939,29.24,46.91,1.83249581239531,沙漠定居者,沙漠定居者
A. Manufacturer,267,137,1.7677902621722847,472.0,110.68539325842697,1018,26.23,51.31,1.8417508417508417,制造商,制造商
Space Baron,700,336,1.8185714285714285,1273.0,116.44714285714285,2788,25.11,48.0,1.8465753424657534,太空枭雄,太空枭雄
Venuphile,1123,530,1.829919857524488,2055.0,111.41674087266252,3696,30.38,47.2,1.847354726799653,金星爱好者,金星爱好者
Banker,764,339,1.8651832460732984,1425.0,117.43062827225131,3142,24.32,44.37,1.8891687657430731,金融巨头,金融巨头
Adapter,97,55,1.7010309278350515,165.0,108.21649484536083,394,24.62,56.7,1.889763779527559,Adapter,Adapter
Coordinator,162,82,1.8148148148148149,294.0,104.16666666666667,784,20.66,50.62,1.921875,Coordinator,Coordinator
Contractor,563,250,1.9023090586145648,1071.0,113.61989342806395,2540,22.17,44.4,1.9325463743676223,营造巨贾,营造巨贾
Tourist,198,81,1.8686868686868687,370.0,99.88888888888889,927,21.36,40.91,1.9517543859649122,旅游者,旅游者
Engineer,85,46,1.7647058823529411,150.0,104.51764705882353,347,24.5,54.12,1.9565217391304348,工程师,工程师
Entrepreneur,300,135,1.9033333333333333,571.0,112.36333333333333,1669,17.97,45.0,1.9575757575757575,企业家,企业家
Incorporator,164,76,1.8597560975609757,305.0,102.38414634146342,527,31.12,46.34,1.958762886597938,法人,法人
A. Zoologist,263,110,1.908745247148289,502.0,109.99619771863118,770,34.16,41.83,1.969283276450512,A. 动物学家,A. 动物学家
Biologist,277,115,1.924187725631769,533.0,106.92418772563177,764,36.26,41.52,1.980456026058632,生物学家,生物学家
Forecaster,137,68,1.8686131386861313,256.0,106.56204379562044,488,28.07,49.64,1.9820359281437125,适应者,适应者
Industrialist,476,193,1.949579831932773,928.0,114.10714285714286,2380,20.0,40.55,1.982213438735178,杰出实业家,杰出实业家
Urbanist,312,130,1.9423076923076923,606.0,101.45192307692308,957,32.6,41.67,1.9912280701754386,城市规划师,城市规划师
Zoologist,230,96,1.9260869565217391,443.0,97.54782608695652,762,30.18,41.74,1.9923076923076923,动物学家,动物学家
Edgedancer,200,82,1.935,387.0,99.705,729,27.43,41.0,2.008695652173913,边缘舞者,边缘舞者
A. Engineer,134,62,1.9029850746268657,255.0,107.54477611940298,476,28.15,46.27,2.0121951219512195,工程师,工程师
Botanist,208,87,1.9471153846153846,405.0,108.17307692307692,675,30.81,41.83,2.0168067226890756,植物学家,植物学家
Naturalist,275,106,1.981818181818182,545.0,94.72,723,38.04,38.55,2.0327868852459017,自然主义者,自然主义者
Thermalist,663,222,2.0316742081447963,1347.0,107.45399698340874,2866,23.13,33.48,2.051948051948052,热能魁首,热能魁首
Landscaper,33,18,1.6666666666666667,55.0,90.12121212121212,117,28.21,54.55,2.0634920634920637,景观师,景观师
Miner,487,182,2.0369609856262834,992.0,109.25462012320328,2548,19.11,37.37,2.0638297872340425,矿业大亨,矿业大亨
Curator,218,94,2.041284403669725,445.0,95.45412844036697,747,29.18,43.12,2.096774193548387,馆长,馆长
Voyager,331,115,2.0604229607250755,682.0,100.72507552870091,907,36.49,34.74,2.096952908587258,远征者,远征者
T. Politician,286,106,2.0664335664335662,591.0,87.6118881118881,910,31.43,37.06,2.107594936708861,政治家,政治家
Warmonger,221,80,2.0950226244343892,463.0,99.20361990950227,1011,21.86,36.2,2.143426294820717,战争贩子,战争贩子
T. Economizer,123,54,2.0569105691056913,253.0,96.52845528455285,459,26.8,43.9,2.1437908496732025,节约者,节约者
Cosmic Settler,200,70,2.095,419.0,100.335,954,20.96,35.0,2.1478260869565218,宇宙移民,宇宙移民
Visionary,83,34,2.072289156626506,172.0,87.18072289156626,580,14.31,40.96,2.185840707964602,囤积者,囤积者
Rugged,109,35,2.1192660550458715,231.0,121.78899082568807,1441,7.56,32.11,2.2014388489208634,坚韧者,坚韧者
Traveller,37,14,1.972972972972973,73.0,92.02702702702703,118,31.36,37.84,2.208955223880597,旅行者,旅行者
Hoarder,72,24,2.125,153.0,90.36111111111111,487,14.78,33.33,2.235294117647059,Hoarder,Hoarder
