card_name,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,avg_resources,weighted_avg_score,win_rate,cn_name,cn_name_plot
Magnetic Field Generators:ares,197,146,1.2588832487309645,239.03553299492387,248.0,197,0.0,1.2907488986784141,74.11,Magnetic Field Generators:ares,Magnetic Field Generators:ares
Herbivores,329,237,1.2796352583586625,217.69908814589667,421.0,329,8.99696048632219,1.298050139275766,72.04,食草动物,食草动物
Extractor Balloons,194,141,1.2731958762886597,232.8659793814433,247.0,194,1.7938144329896908,1.3035714285714286,72.68,热气球提取器,热气球提取器
Nanofoundry,171,124,1.2748538011695907,219.19298245614036,218.0,171,0.0,1.308457711442786,72.51,纳米铸造厂,纳米铸造厂
Large Ecological Reserve,374,264,1.2941176470588236,214.1577540106952,484.0,374,0.0,1.3094059405940595,70.59,大型生态保护区,大型生态保护区
Voltaic Metallurgy,183,132,1.278688524590164,213.34972677595627,234.0,183,0.0,1.3098591549295775,72.13,伏打冶金,伏打冶金
Terraforming Ganymede,550,384,1.3018181818181818,213.06545454545454,716.0,550,0.0,1.3120689655172413,69.82,改造木卫三,改造木卫三
Ecological Survey,436,305,1.3004587155963303,204.10091743119267,567.0,436,0.0,1.3133047210300428,69.95,生态调查,生态调查
Tool with the First Order (VIII),195,139,1.2871794871794873,215.0871794871795,251.0,195,0.0,1.3155555555555556,71.28,Tool with the First Order (VIII),Tool with the First Order (VIII)
Bactoviral Research,657,453,1.3105022831050228,198.30593607305937,861.0,657,0.0,1.3187772925764192,68.95,细菌病毒研究,细菌病毒研究
Lunar Observation Post,198,140,1.292929292929293,227.63636363636363,256.0,198,3.217171717171717,1.3201754385964912,70.71,月球观测站,月球观测站
Focused Organization,135,97,1.2814814814814814,179.16296296296295,173.0,135,0.0,1.3212121212121213,71.85,专注组织,专注组织
Designed Organisms,396,274,1.3080808080808082,200.59848484848484,518.0,396,0.0,1.3215962441314555,69.19,生物体设计,生物体设计
Clone Technology,402,275,1.3159203980099503,218.544776119403,529.0,402,0.0,1.3287037037037037,68.41,克隆科技,克隆科技
St. Joseph of Cupertino Mission,371,254,1.3153638814016173,220.6253369272237,488.0,371,0.0,1.3291770573566084,68.46,库比蒂诺圣约瑟夫传教团,库比蒂诺圣约瑟夫传教团
Public Spaceline,234,162,1.3076923076923077,195.86324786324786,306.0,234,0.0,1.3295454545454546,69.23,公共太空航线,公共太空航线
Bioengineering Enclosure,276,190,1.3115942028985508,225.42753623188406,362.0,276,0.6739130434782609,1.3300653594771241,68.84,生物工程组件,生物工程组件
Insulation,182,127,1.3021978021978022,222.23626373626374,237.0,182,0.0,1.330188679245283,69.78,绝缘,绝缘
Soletta,109,78,1.2844036697247707,284.3302752293578,140.0,109,0.0,1.330935251798561,71.56,索莱塔,索莱塔
Urgent Terraforming Command,370,252,1.318918918918919,211.95675675675676,488.0,370,0.0,1.3325,68.11,紧急改造令,紧急改造令
Butterfly Effect,159,111,1.3018867924528301,257.8993710691824,207.0,159,0.0,1.3333333333333333,69.81,蝴蝶效应,蝴蝶效应
Ecological Zone:ares,449,303,1.3251670378619154,198.1781737193764,595.0,449,12.766146993318486,1.336116910229645,67.48,Ecological Zone:ares,Ecological Zone:ares
Cloud Seeding,199,137,1.3115577889447236,226.1356783919598,261.0,199,0.0,1.3362445414847162,68.84,人工降雨,人工降雨
Hydrothermal Vent Archaea,473,318,1.3276955602536997,198.0169133192389,628.0,473,17.731501057082454,1.337972166998012,67.23,深海热泉细菌,深海热泉细菌
Project Inspection,583,390,1.3310463121783878,193.21440823327615,776.0,583,0.0,1.3393148450244698,66.9,项目检测,项目检测
AntiGravity Experiment,557,372,1.3321364452423698,205.6588868940754,742.0,557,0.0,1.3407155025553663,66.79,反重力先行试验,反重力先行试验
Lake Marineris,231,157,1.3203463203463204,224.1038961038961,305.0,231,0.0,1.3409961685823755,67.97,水手湖,水手湖
Community Worker,439,294,1.3302961275626424,213.64692482915717,584.0,439,0.0,1.3411513859275053,66.97,社区工作者,社区工作者
Equatorial Magnetizer,178,122,1.3146067415730338,243.41573033707866,234.0,178,0.0,1.3413461538461537,68.54,赤道导磁体,赤道导磁体
Space Wargames,175,120,1.3142857142857143,218.45714285714286,230.0,175,0.3942857142857143,1.3414634146341464,68.57,太空战争游戏,太空战争游戏
Urban Decomposers,418,280,1.3301435406698565,204.85885167464116,556.0,418,0.0,1.3415178571428572,66.99,都市分解者,都市分解者
Cyanobacteria,350,235,1.3285714285714285,207.1342857142857,465.0,350,0.0,1.3421052631578947,67.14,蓝藻菌,蓝藻菌
Ice Cap Melting,186,127,1.3172043010752688,206.79032258064515,245.0,186,0.0,1.3425925925925926,68.28,冰川融化,冰川融化
Social Events,180,123,1.3166666666666667,243.5388888888889,237.0,180,0.0,1.3428571428571427,68.33,社交活动,社交活动
Darkside Observatory,133,92,1.3082706766917294,230.05263157894737,174.0,133,0.0,1.343558282208589,69.17,暗面天文台,暗面天文台
GHG Factories,153,105,1.3137254901960784,249.20915032679738,201.0,153,0.0,1.3442622950819672,68.63,温室气体工厂,温室气体工厂
Methane From Titan,460,306,1.3347826086956522,208.58260869565217,614.0,460,0.0,1.3448979591836734,66.52,来自泰坦的甲烷,来自泰坦的甲烷
Martian Lumber Corp,454,302,1.3348017621145374,203.88986784140968,606.0,454,0.0,1.3450413223140496,66.52,火星木材公司,火星木材公司
Martian Nature Wonders,277,186,1.3285198555956679,210.42238267148014,368.0,277,0.0,1.3452768729641693,67.15,火星自然遗产,火星自然遗产
Mangrove,407,271,1.3341523341523343,199.5921375921376,543.0,407,0.0,1.345537757437071,66.58,红树林,红树林
Starcore Mining,644,426,1.3385093167701863,193.2189440993789,862.0,644,0.0,1.3456973293768546,66.15,星核开采,星核开采
Snow Algae,239,161,1.3263598326359833,221.9958158995816,317.0,239,0.0,1.345724907063197,67.36,雪藻,雪藻
Astra Mechanica,652,431,1.3389570552147239,194.20398773006136,873.0,652,0.0,1.346041055718475,66.1,星械会,星械会
Steelworks,126,87,1.3095238095238095,218.35714285714286,165.0,126,0.0,1.3461538461538463,69.05,钢铁厂,钢铁厂
Capital:ares,302,202,1.3311258278145695,222.75496688741723,402.0,302,0.0,1.3463855421686748,66.89,Capital:ares,Capital:ares
Dyson Screens,405,269,1.3358024691358024,197.8395061728395,541.0,405,0.0,1.3471264367816091,66.42,戴森屏,戴森屏
Ceres Spaceport,356,237,1.3342696629213484,205.26966292134833,475.0,356,0.0,1.3471502590673574,66.57,谷神星太空港,谷神星太空港
Hay Maker,263,176,1.3307984790874525,186.49809885931558,350.0,263,0.0,1.348122866894198,66.92,炎拳,炎拳
Ecology Research,471,311,1.3397027600849256,207.7112526539278,631.0,471,0.0,1.3493013972055887,66.03,生态学研究,生态学研究
Air Raid,468,309,1.3397435897435896,193.62820512820514,627.0,468,0.0,1.3493975903614457,66.03,空袭,空袭
Solar Probe,652,428,1.343558282208589,195.08282208588957,876.0,652,0.0,1.3504398826979471,65.64,太阳探测器,太阳探测器
Soil Factory,281,187,1.3345195729537367,225.41992882562278,375.0,281,0.0,1.3504823151125402,66.55,土壤工厂,土壤工厂
Anti-Gravity Technology,668,437,1.345808383233533,196.1556886227545,899.0,668,0.0,1.3524355300859598,65.42,反重力科技,反重力科技
Sulphur Exports,514,336,1.3463035019455254,204.01750972762645,692.0,514,0.0,1.3547794117647058,65.37,硫磺出口贸易,硫磺出口贸易
