card_name,play_count_2p,total_weighted_x,count_weighted_x,weighted_avg_score_x,weighted_2p,play_count_4p,total_weighted_y,count_weighted_y,weighted_avg_score_y,weighted_4p,cn_name,cn_name_plot,wr_diff_2p,wr_diff_4p,total_diff
16 Psyche,576,818.0,576,1.4215017064846416,1.42,1033,2480.0,1033,2.401725790987536,2.4,灵神星16,灵神星16,-0.08000000000000007,-0.10000000000000009,-0.18000000000000016
AI Central,716,988.0,716,1.381542699724518,1.38,1329,3280.0,1329,2.4682598954443615,2.47,人工智能核心,人工智能核心,-0.1200000000000001,-0.029999999999999805,-0.1499999999999999
AI Controlled Mine Network,42,58.0,42,1.4038461538461537,1.4,15,34.0,15,2.36,2.36,AI控制采矿网络,AI控制采矿网络,-0.10000000000000009,-0.14000000000000012,-0.2400000000000002
Acquired Company,495,720.0,495,1.4554455445544554,1.46,777,2005.0,777,2.579415501905972,2.58,并购公司,并购公司,-0.040000000000000036,0.08000000000000007,0.040000000000000036
Adaptation Technology,425,583.0,425,1.374712643678161,1.37,680,1668.0,680,2.453623188405797,2.45,适应性技术,适应性技术,-0.1299999999999999,-0.04999999999999982,-0.17999999999999972
Adapted Lichen,310,438.0,310,1.415625,1.42,403,969.0,403,2.406779661016949,2.41,自适应地衣,自适应地衣,-0.08000000000000007,-0.08999999999999986,-0.16999999999999993
Advanced Alloys,715,1006.0,715,1.4082758620689655,1.41,1640,3923.0,1640,2.3927272727272726,2.39,优化合金,优化合金,-0.09000000000000008,-0.10999999999999988,-0.19999999999999996
Advanced Ecosystems,554,754.0,554,1.3634751773049645,1.36,1321,2923.0,1321,2.2148760330578514,2.21,先进的生态系统,先进的生态系统,-0.1399999999999999,-0.29000000000000004,-0.42999999999999994
Advanced Power Grid,306,422.0,306,1.3829113924050633,1.38,685,1635.0,685,2.3884892086330933,2.39,电网改进,电网改进,-0.1200000000000001,-0.10999999999999988,-0.22999999999999998
Advertising,541,759.0,541,1.4047186932849365,1.4,1080,2669.0,1080,2.471559633027523,2.47,广告业,广告业,-0.10000000000000009,-0.029999999999999805,-0.1299999999999999
Aerial Lenses,21,29.0,21,1.4193548387096775,1.42,152,348.0,152,2.302469135802469,2.3,对空透镜,对空透镜,-0.08000000000000007,-0.20000000000000018,-0.28000000000000025
Aerial Mappers,645,908.0,645,1.4091603053435116,1.41,1534,3516.0,1534,2.29339378238342,2.29,航空制图器,航空制图器,-0.09000000000000008,-0.20999999999999996,-0.30000000000000004
Aerobraked Ammonia Asteroid,220,300.0,220,1.3695652173913044,1.37,127,296.0,127,2.343065693430657,2.34,氮气小行星,氮气小行星,-0.1299999999999999,-0.16000000000000014,-0.29000000000000004
Aerosport Tournament,273,367.0,273,1.3498233215547704,1.35,621,1305.0,621,2.1077654516640254,2.11,航空运动锦标赛,航空运动锦标赛,-0.1499999999999999,-0.3900000000000001,-0.54
Agro-Drones,121,162.0,121,1.3511450381679388,1.35,137,323.0,137,2.36734693877551,2.37,农业无人机,农业无人机,-0.1499999999999999,-0.1299999999999999,-0.2799999999999998
Air Raid,468,627.0,468,1.3430962343096233,1.34,905,2097.0,905,2.3191256830601095,2.32,空袭,空袭,-0.15999999999999992,-0.18000000000000016,-0.3400000000000001
Air-Scrapping Expedition,424,589.0,424,1.391705069124424,1.39,901,2010.0,901,2.2338090010976948,2.23,金星改造远征队,金星改造远征队,-0.1100000000000001,-0.27,-0.3800000000000001
Airliners,377,522.0,377,1.3875968992248062,1.39,627,1426.0,627,2.2778649921507066,2.28,航空公司,航空公司,-0.1100000000000001,-0.2200000000000002,-0.3300000000000003
Algae,422,582.0,422,1.3819444444444444,1.38,859,1950.0,859,2.272727272727273,2.27,海藻,海藻,-0.1200000000000001,-0.22999999999999998,-0.3500000000000001
An Offer You Can't Refuse,12,19.0,12,1.5454545454545454,1.55,95,205.0,95,2.1904761904761907,2.19,一个无法拒绝的条件,一个无法拒绝的条件,0.050000000000000044,-0.31000000000000005,-0.26
Ansible,511,699.0,511,1.3704414587332054,1.37,1186,2865.0,1186,2.4163879598662206,2.42,安塞波,安塞波,-0.1299999999999999,-0.08000000000000007,-0.20999999999999996
Anthozoa,234,319.0,234,1.3688524590163935,1.37,580,1305.0,580,2.2542372881355934,2.25,珊瑚动物,珊瑚动物,-0.1299999999999999,-0.25,-0.3799999999999999
Anti-Gravity Technology,668,899.0,668,1.3480825958702065,1.35,1384,2998.0,1384,2.16857962697274,2.17,反重力科技,反重力科技,-0.1499999999999999,-0.33000000000000007,-0.48
AntiGravity Experiment,557,742.0,557,1.3350970017636685,1.34,1248,2741.0,1248,2.1987281399046106,2.2,反重力先行试验,反重力先行试验,-0.15999999999999992,-0.2999999999999998,-0.45999999999999974
Ants,485,686.0,485,1.4161616161616162,1.42,1223,2834.0,1223,2.318734793187348,2.32,蚂蚁,蚂蚁,-0.08000000000000007,-0.18000000000000016,-0.26000000000000023
Aqueduct Systems,571,798.0,571,1.3993115318416522,1.4,1192,2644.0,1192,2.220465890183028,2.22,导水系统,导水系统,-0.10000000000000009,-0.2799999999999998,-0.3799999999999999
Aquifer Pumping,123,172.0,123,1.406015037593985,1.41,129,321.0,129,2.4892086330935252,2.49,含水层抽水,含水层抽水,-0.09000000000000008,-0.009999999999999787,-0.09999999999999987
ArchaeBacteria,246,358.0,246,1.45703125,1.46,619,1466.0,619,2.370429252782194,2.37,古细菌类,古细菌类,-0.040000000000000036,-0.1299999999999999,-0.16999999999999993
Archimedes Hydroponics Station,64,82.0,64,1.3108108108108107,1.31,114,273.0,114,2.403225806451613,2.4,阿基米德水培站,阿基米德水培站,-0.18999999999999995,-0.10000000000000009,-0.29000000000000004
Arctic Algae,307,425.0,307,1.38801261829653,1.39,891,2038.0,891,2.2896781354051052,2.29,北极的藻类植物,北极的藻类植物,-0.1100000000000001,-0.20999999999999996,-0.32000000000000006
Aristarchus Road Network,49,67.0,49,1.3898305084745763,1.39,11,28.0,11,2.5238095238095237,2.52,阿里斯塔克斯街道网络,阿里斯塔克斯街道网络,-0.1100000000000001,0.020000000000000018,-0.09000000000000008
Artificial Lake,294,410.0,294,1.3980263157894737,1.4,478,1066.0,478,2.235655737704918,2.24,人工湖,人工湖,-0.10000000000000009,-0.2599999999999998,-0.3599999999999999
Artificial Photosynthesis,489,688.0,489,1.408817635270541,1.41,766,1901.0,766,2.481958762886598,2.48,人造光合作用,人造光合作用,-0.09000000000000008,-0.020000000000000018,-0.1100000000000001
Asteroid,543,771.0,543,1.4213381555153708,1.42,1314,3071.0,1314,2.338368580060423,2.34,小行星,小行星,-0.08000000000000007,-0.16000000000000014,-0.2400000000000002
Asteroid Deflection System,430,618.0,430,1.4386363636363637,1.44,762,1802.0,762,2.366580310880829,2.37,小行星防卫系统,小行星防卫系统,-0.06000000000000005,-0.1299999999999999,-0.18999999999999995
Asteroid Hollowing,132,181.0,132,1.380281690140845,1.38,84,234.0,84,2.75531914893617,2.76,行星挖掘,行星挖掘,-0.1200000000000001,0.2599999999999998,0.13999999999999968
Asteroid Mining,570,820.0,570,1.4396551724137931,1.44,933,2308.0,933,2.4740190880169672,2.47,小行星采矿,小行星采矿,-0.06000000000000005,-0.029999999999999805,-0.08999999999999986
Asteroid Mining Consortium,518,710.0,518,1.3731060606060606,1.37,845,2064.0,845,2.4432748538011695,2.44,行星采矿财团,行星采矿财团,-0.1299999999999999,-0.06000000000000005,-0.18999999999999995
Asteroid Resources,310,430.0,310,1.390625,1.39,857,1907.0,857,2.2283737024221453,2.23,小行星资源,小行星资源,-0.1100000000000001,-0.27,-0.3800000000000001
Asteroid Rights,626,887.0,626,1.4182389937106918,1.42,1546,3554.0,1546,2.30012853470437,2.3,小行星权力,小行星权力,-0.08000000000000007,-0.20000000000000018,-0.28000000000000025
