card_name,games_2p,weighted_2p,games_4p,weighted_4p,cn_name,cn_name_plot
Magnetic Field Generators:ares,197,1.2907488986784141,437,2.1413276231263385,Magnetic Field Generators:ares,Magnetic Field Generators:ares
Herbivores,329,1.298050139275766,528,2.161290322580645,食草动物,食草动物
Extractor Balloons,194,1.3035714285714286,291,2.398753894080997,热气球提取器,热气球提取器
Nanofoundry,171,1.308457711442786,520,2.172727272727273,纳米铸造厂,纳米铸造厂
Large Ecological Reserve,374,1.3094059405940595,904,2.164882226980728,大型生态保护区,大型生态保护区
Voltaic Metallurgy,183,1.3098591549295775,654,2.3216374269005846,伏打冶金,伏打冶金
Terraforming Ganymede,550,1.3120689655172413,1076,2.122965641952984,改造木卫三,改造木卫三
Ecological Survey,436,1.3133047210300428,1139,2.240376390076989,生态调查,生态调查
Tool with the First Order (VIII),195,1.3155555555555556,1037,2.471415182755389,Tool with the First Order (VIII),Tool with the First Order (VIII)
Bactoviral Research,657,1.3187772925764192,1354,2.19364161849711,细菌病毒研究,细菌病毒研究
Lunar Observation Post,198,1.3201754385964912,770,2.4,月球观测站,月球观测站
Focused Organization,135,1.3212121212121213,463,2.561866125760649,专注组织,专注组织
Designed Organisms,396,1.3215962441314555,1116,2.1282722513089007,生物体设计,生物体设计
Clone Technology,402,1.3287037037037037,933,2.1526479750778815,克隆科技,克隆科技
St. Joseph of Cupertino Mission,371,1.3291770573566084,495,2.3295238095238093,库比蒂诺圣约瑟夫传教团,库比蒂诺圣约瑟夫传教团
Public Spaceline,234,1.3295454545454546,1158,2.201178451178451,公共太空航线,公共太空航线
Bioengineering Enclosure,276,1.3300653594771241,609,2.2785602503912363,生物工程组件,生物工程组件
Insulation,182,1.330188679245283,239,2.315985130111524,绝缘,绝缘
Urgent Terraforming Command,370,1.3325,684,2.0756302521008405,紧急改造令,紧急改造令
Butterfly Effect,159,1.3333333333333333,435,2.296774193548387,蝴蝶效应,蝴蝶效应
Ecological Zone:ares,449,1.336116910229645,1444,2.1601085481682496,Ecological Zone:ares,Ecological Zone:ares
Cloud Seeding,199,1.3362445414847162,233,2.4334600760456273,人工降雨,人工降雨
Hydrothermal Vent Archaea,473,1.337972166998012,1358,2.276657060518732,深海热泉细菌,深海热泉细菌
Project Inspection,583,1.3393148450244698,1507,2.305790500975927,项目检测,项目检测
AntiGravity Experiment,557,1.3407155025553663,1248,2.2034428794992174,反重力先行试验,反重力先行试验
Lake Marineris,231,1.3409961685823755,390,2.107142857142857,水手湖,水手湖
Community Worker,439,1.3411513859275053,1299,2.400300978179082,社区工作者,社区工作者
Equatorial Magnetizer,178,1.3413461538461537,220,2.324,赤道导磁体,赤道导磁体
Space Wargames,175,1.3414634146341464,921,2.231335436382755,太空战争游戏,太空战争游戏
Urban Decomposers,418,1.3415178571428572,825,2.2339181286549707,都市分解者,都市分解者
Cyanobacteria,350,1.3421052631578947,1214,2.215434083601286,蓝藻菌,蓝藻菌
Ice Cap Melting,186,1.3425925925925926,257,2.278745644599303,冰川融化,冰川融化
Social Events,180,1.3428571428571427,211,1.983402489626556,社交活动,社交活动
Darkside Observatory,133,1.343558282208589,319,2.4126074498567336,暗面天文台,暗面天文台
GHG Factories,153,1.3442622950819672,181,2.4786729857819907,温室气体工厂,温室气体工厂
Methane From Titan,460,1.3448979591836734,580,2.237704918032787,来自泰坦的甲烷,来自泰坦的甲烷
Martian Lumber Corp,454,1.3450413223140496,964,2.1730382293762576,火星木材公司,火星木材公司
Martian Nature Wonders,277,1.3452768729641693,946,2.2202868852459017,火星自然遗产,火星自然遗产
Mangrove,407,1.345537757437071,1241,2.169944925255704,红树林,红树林
Starcore Mining,644,1.3456973293768546,1745,2.312112676056338,星核开采,星核开采
Snow Algae,239,1.345724907063197,294,2.3425925925925926,雪藻,雪藻
Astra Mechanica,652,1.346041055718475,1666,2.2423349056603774,星械会,星械会
Steelworks,126,1.3461538461538463,106,2.4779411764705883,钢铁厂,钢铁厂
Capital:ares,302,1.3463855421686748,825,2.192982456140351,Capital:ares,Capital:ares
Dyson Screens,405,1.3471264367816091,1153,2.2967032967032965,戴森屏,戴森屏
Ceres Spaceport,356,1.3471502590673574,930,2.3375,谷神星太空港,谷神星太空港
Hay Maker,263,1.348122866894198,761,2.213653603034134,炎拳,炎拳
Ecology Research,471,1.3493013972055887,714,2.1088709677419355,生态学研究,生态学研究
Air Raid,468,1.3493975903614457,905,2.322994652406417,空袭,空袭
Solar Probe,652,1.3504398826979471,1651,2.324211778703153,太阳探测器,太阳探测器
Soil Factory,281,1.3504823151125402,449,2.2546972860125263,土壤工厂,土壤工厂
Anti-Gravity Technology,668,1.3524355300859598,1384,2.1732673267326734,反重力科技,反重力科技
Sulphur Exports,514,1.3547794117647058,920,2.3021052631578947,硫磺出口贸易,硫磺出口贸易
Teslaract,249,1.3548387096774193,311,2.2551319648093844,泰斯拉立方体,泰斯拉立方体
Noctis Farming,494,1.3549618320610688,1397,2.3104414856341977,诺提斯农耕,诺提斯农耕
Jovian Lanterns,336,1.355191256830601,729,2.270092226613966,木星灯,木星灯
Tundra Farming,381,1.3552311435523114,716,2.1621983914209117,冻原农耕,冻原农耕
Luxury Foods,457,1.3552361396303902,968,2.3016032064128256,奢靡大餐,奢靡大餐
Cassini Station,257,1.3554006968641115,730,2.335526315789474,卡西尼太空站,卡西尼太空站
Martian Fencing,535,1.3557522123893806,1589,2.4854848672019765,火星击剑,火星击剑
Protected Growth,178,1.3557692307692308,318,2.2729885057471266,受保护的生长,受保护的生长
Energy Supply,355,1.3558441558441559,1091,2.328278322925959,电力补给,电力补给
Open City,380,1.3560975609756099,822,2.17018779342723,开放的城市,开放的城市
Power Plant,542,1.3566433566433567,1186,2.4276315789473686,发电厂,发电厂
Space Monster Park,581,1.3567921440261865,1545,2.36,太空怪兽乐园,太空怪兽乐园
Insects,473,1.3578528827037772,853,2.1098527746319364,昆虫,昆虫
