card_name,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,avg_resources,weighted_avg_score,win_rate,cn_name,cn_name_plot
Social Events,432,245,1.6319444444444444,166.16203703703704,705.0,432,0.0,1.6883116883116882,56.71,社交活动,社交活动
Coordinated Raid,324,174,1.6635802469135803,165.5030864197531,539.0,324,0.0,1.734463276836158,53.7,协调一致的空袭,协调一致的空袭
Ecological Zone,459,235,1.6993464052287581,127.79084967320262,780.0,459,8.854030501089325,1.7484662576687116,51.2,生态保护区,生态保护区
City Parks,852,422,1.7429577464788732,133.2206572769953,1485.0,852,0.0,1.7687074829931972,49.53,城市公园,城市公园
Darkside Mining Syndicate,105,53,1.5714285714285714,169.04761904761904,165.0,105,0.0,1.7777777777777777,50.48,暗面矿业联盟,暗面矿业联盟
Aerobraked Ammonia Asteroid,428,214,1.733644859813084,164.85046728971963,742.0,428,0.0,1.7838427947598254,50.0,氮气小行星,氮气小行星
Diversity Support,841,421,1.764565992865636,145.0178359096314,1484.0,841,0.0,1.7898966704936854,50.06,多样性扶持,多样性扶持
Ecology Research,1418,696,1.7849083215796897,136.07475317348377,2531.0,1418,0.0,1.7997237569060773,49.08,生态学研究,生态学研究
Magnetic Field Generators:promo,251,124,1.7171314741035857,142.10358565737053,431.0,251,0.0,1.800711743772242,49.4,Magnetic Field Generators:promo,Magnetic Field Generators:promo
Venus Soils,900,435,1.7866666666666666,140.99777777777777,1608.0,900,0.0,1.8096774193548386,48.33,金星土壤,金星土壤
Capital,358,164,1.7541899441340782,127.04469273743017,628.0,358,0.0,1.8118556701030928,45.81,首都,首都
Lake Marineris,741,355,1.786774628879892,136.63292847503374,1324.0,741,0.0,1.814526588845655,47.91,水手湖,水手湖
Urgent Terraforming Command,1168,564,1.7996575342465753,131.50770547945206,2102.0,1168,0.0,1.817195325542571,48.29,紧急改造令,紧急改造令
Underground Detonators,109,62,1.6330275229357798,161.32110091743118,178.0,109,0.0,1.8201438848920863,56.88,地下炸弹,地下炸弹
奇物丰收,522,255,1.7835249042145593,144.0249042145594,931.0,522,0.0,1.8224637681159421,48.85,奇物丰收,奇物丰收
Robot Pollinators,1372,651,1.8170553935860059,128.84620991253644,2493.0,1372,0.0,1.8316690442225392,47.45,机器授粉者,机器授粉者
Mining Rights,533,247,1.7954971857410882,120.90806754221389,957.0,533,0.0,1.83303730017762,46.34,采矿权,采矿权
Herbivores,1031,510,1.8166828322017459,135.08632395732297,1873.0,1031,6.842870999030068,1.8360037700282752,49.47,食草动物,食草动物
Terraforming Ganymede,1937,935,1.8301497160557563,132.3665462054724,3545.0,1937,0.0,1.8403660396542958,48.27,改造木卫三,改造木卫三
Nuclear Zone,482,224,1.8008298755186722,112.64730290456431,868.0,482,0.0,1.841796875,46.47,核爆辐射区,核爆辐射区
Darkside Smugglers' Union,104,56,1.6538461538461537,169.5,172.0,104,0.0,1.8432835820895523,53.85,Darkside Smugglers' Union,Darkside Smugglers' Union
Caretaker Contract,463,222,1.8012958963282937,154.56155507559396,834.0,463,0.0,1.843813387423935,47.95,监护合约,监护合约
Mare Nectaris Mine,107,55,1.6635514018691588,169.7570093457944,178.0,107,0.0,1.8467153284671534,51.4,酒海矿山,酒海矿山
Mare Imbrium Mine,114,60,1.6754385964912282,162.4298245614035,191.0,114,0.0,1.8472222222222223,52.63,雨海矿山,雨海矿山
Insects,1548,692,1.8359173126614987,126.89664082687338,2842.0,1548,0.0,1.8485424588086186,44.7,昆虫,昆虫
Worms,1349,634,1.8354336545589325,130.24833209785027,2476.0,1349,0.0,1.8498912255257434,47.0,蠕虫,蠕虫
Solar Logistics,1792,833,1.8426339285714286,129.54799107142858,3302.0,1792,0.0,1.853457738748628,46.48,太阳能物流,太阳能物流
Deimos Down:promo,418,193,1.8086124401913874,111.12679425837321,756.0,418,0.0,1.8549107142857142,46.17,Deimos Down:promo,Deimos Down:promo
Nitrogen-Rich Asteroid,1326,621,1.8408748114630467,132.16892911010558,2441.0,1326,0.0,1.8554572271386431,46.83,富氮小行星,富氮小行星
Methane From Titan,1237,572,1.839935327405012,139.30153597413096,2276.0,1237,0.0,1.8555643251775849,46.24,来自泰坦的甲烷,来自泰坦的甲烷
Commercial District,383,173,1.8093994778067886,127.17493472584856,693.0,383,0.0,1.8595641646489105,45.17,商业区,商业区
City Park,624,287,1.8349358974358974,130.44230769230768,1145.0,624,0.0,1.8654434250764527,45.99,City Park,City Park
Gyropolis,1582,712,1.854614412136536,133.93489254108724,2934.0,1582,0.0,1.8666253101736974,45.01,旋转都会,旋转都会
Tundra Farming,1307,599,1.8538638102524867,130.94720734506504,2423.0,1307,0.0,1.868362004487659,45.83,冻原农耕,冻原农耕
Teslaract,664,314,1.841867469879518,144.52861445783134,1223.0,664,0.0,1.8703170028818443,47.29,泰斯拉立方体,泰斯拉立方体
Restricted Area,609,279,1.8407224958949098,122.7192118226601,1121.0,609,0.0,1.8716744913928012,45.81,管制区,管制区
Mining Area,430,182,1.830232558139535,122.47906976744186,787.0,430,0.0,1.873913043478261,42.33,采矿区,采矿区
Magnetic Field Generators:ares,701,349,1.848787446504993,137.44793152639087,1296.0,701,0.0,1.8755129958960328,49.79,Magnetic Field Generators:ares,Magnetic Field Generators:ares
GHG Import From Venus,900,417,1.8555555555555556,137.2288888888889,1670.0,900,0.0,1.8763440860215055,46.33,从金星导入温室气体,从金星导入温室气体
Aerosport Tournament,1055,493,1.8597156398104266,134.75355450236967,1962.0,1055,0.0,1.8774193548387097,46.73,航空运动锦标赛,航空运动锦标赛
Beam From A Thorium Asteroid,916,394,1.8580786026200873,143.60917030567686,1702.0,916,0.0,1.8784355179704018,43.01,钍行星射线,钍行星射线
