card_name,corporation,play_count,wins,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,card_cn_name,corp_cn_name
Worms,Interplanetary Cinematics (breakthrough),32,23,101.28125,45.0,32,1.6666666666666667,71.88,蠕虫,Interplanetary Cinematics (breakthrough)
Ecology Research,Vitor,52,32,109.17307692307692,80.0,52,1.6935483870967742,61.54,生态学研究,Vitor
Nitrogen-Rich Asteroid,Prism,17,15,145.0,21.0,17,1.7037037037037037,88.24,富氮小行星,棱镜光谱研究室
Urgent Terraforming Command,Prism,25,18,126.8,35.0,25,1.7142857142857142,72.0,紧急改造令,棱镜光谱研究室
Mining Quota,MorningStar Inc (breakthrough),40,24,103.9,61.0,40,1.72,60.0,采矿配额,MorningStar Inc (breakthrough)
Capital:ares,MorningStar Inc (breakthrough),26,17,116.38461538461539,38.0,26,1.75,65.38,Capital:ares,MorningStar Inc (breakthrough)
AntiGravity Experiment,🌸Energy Saving Ecology🌸,23,16,95.8695652173913,33.0,23,1.7575757575757576,69.57,反重力先行试验,🌸节能生态🌸
Diversity Support,🌸Ark Nova🌸,23,15,114.47826086956522,33.0,23,1.7575757575757576,65.22,多样性扶持,🌸方舟动物园🌸
Mass Converter,Arcadian Communities (breakthrough),19,13,94.05263157894737,26.0,19,1.7586206896551724,68.42,质能转换器,Arcadian Communities (breakthrough)
Urbanized Area,Prism,28,17,119.28571428571429,42.0,28,1.763157894736842,60.71,城市化区域,棱镜光谱研究室
Urgent Terraforming Command,🌸StarlinkDrifter🌸,17,13,118.11764705882354,23.0,17,1.7777777777777777,76.47,紧急改造令,🌸星链漂流者🌸
Comet for Venus,Spire,35,22,97.74285714285715,55.0,35,1.7777777777777777,62.86,飞向金星的彗星,Spire
Bioengineering Enclosure,Spire,17,13,106.17647058823529,23.0,17,1.7777777777777777,76.47,生物工程组件,Spire
Energy Market,MorningStar Inc (breakthrough),54,31,101.44444444444444,89.0,54,1.78125,57.41,能源市场,MorningStar Inc (breakthrough)
Ocean Farm,Prism,28,17,119.60714285714286,43.0,28,1.7894736842105263,60.71,海洋农场,棱镜光谱研究室
Heather,🌸Green Ring🌸,14,11,109.71428571428571,18.0,14,1.7916666666666667,78.57,帚石楠,🌸绿环🌸
Ocean City,🌸Green Leaf Dance🌸,20,12,85.25,29.0,20,1.8,60.0,海洋城市,🌸绿叶舞动🌸
Stratospheric Birds,United Nations Mission One,15,11,103.73333333333333,20.0,15,1.8,73.33,平流层的鸟类,United Nations Mission One
Urgent Terraforming Command,Vitor,30,20,105.26666666666667,47.0,30,1.8,66.67,紧急改造令,Vitor
Business Contacts,MorningStar Inc (breakthrough),67,36,98.41791044776119,114.0,67,1.8051948051948052,53.73,商业合同,MorningStar Inc (breakthrough)
Urgent Terraforming Command,Arcadian Communities (breakthrough),21,13,87.38095238095238,31.0,21,1.8064516129032258,61.9,紧急改造令,Arcadian Communities (breakthrough)
Bushes,🌸MirrorCoat🌸,21,14,98.76190476190476,31.0,21,1.8064516129032258,66.67,花丛,🌸镜反🌸
Mass Converter,🌸Protogen🌸,16,11,93.5,22.0,16,1.8076923076923077,68.75,质能转换器,🌸微生物热舞🌸
Sister Planet Support,MorningStar Inc (breakthrough),91,49,102.57142857142857,158.0,91,1.811881188118812,53.85,姊妹星球支持,MorningStar Inc (breakthrough)
Harvest,Ringcom,22,16,101.0909090909091,33.0,22,1.8125,72.73,丰收,Ringcom
Media Archives,Arcadian Communities (breakthrough),33,20,90.33333333333333,53.0,33,1.813953488372093,60.61,多媒体档案库,Arcadian Communities (breakthrough)
Takonda Castle (VII),Pobolog (breakthrough),33,22,104.78787878787878,53.0,33,1.813953488372093,66.67,Takonda Castle (VII),Pobolog (breakthrough)
Designed Organisms,MorningStar Inc (breakthrough),34,19,102.94117647058823,55.0,34,1.8181818181818181,55.88,生物体设计,MorningStar Inc (breakthrough)
Controlled Bloom,MorningStar Inc (breakthrough),34,19,104.32352941176471,55.0,34,1.8181818181818181,55.88,爆破控制,MorningStar Inc (breakthrough)
Robot Pollinators,Prism,23,17,131.91304347826087,35.0,23,1.8181818181818181,73.91,机器授粉者,棱镜光谱研究室
Red City,Ringcom,23,15,97.78260869565217,35.0,23,1.8181818181818181,65.22,红城,Ringcom
Nanofoundry,MorningStar Inc (breakthrough),12,10,111.83333333333333,15.0,12,1.8181818181818181,83.33,纳米铸造厂,MorningStar Inc (breakthrough)
Robot Pollinators,Interplanetary Cinematics (breakthrough),35,22,96.6,57.0,35,1.8222222222222222,62.86,机器授粉者,Interplanetary Cinematics (breakthrough)
Insulation,Prism,13,9,136.69230769230768,17.0,13,1.826086956521739,69.23,绝缘,棱镜光谱研究室
Earth Catapult,MorningStar Inc (breakthrough),65,38,102.03076923076924,112.0,65,1.8266666666666667,58.46,地球发射站,MorningStar Inc (breakthrough)
Cloud City (V),Spire,54,32,91.55555555555556,92.0,54,1.828125,59.26,Cloud City (V),Spire
Soil Enrichment,Vitor,66,38,101.62121212121212,114.0,66,1.8289473684210527,57.58,土壤改良,Vitor
Mars Hot Spring,MorningStar Inc (breakthrough),31,16,106.54838709677419,50.0,31,1.829268292682927,51.61,火星温泉,MorningStar Inc (breakthrough)
Rover Construction,MorningStar Inc (breakthrough),55,30,102.01818181818182,94.0,55,1.8307692307692307,54.55,漫游者建设,MorningStar Inc (breakthrough)
Lake Marineris,Vitor,26,17,103.11538461538461,41.0,26,1.8333333333333333,65.38,水手湖,Vitor
Martian Express,Celestic (breakthrough),26,13,101.76923076923077,41.0,26,1.8333333333333333,50.0,火星特快,Celestic (breakthrough)
Breeding Farms,MorningStar Inc (breakthrough),20,12,106.1,30.0,20,1.8333333333333333,60.0,养殖农场,MorningStar Inc (breakthrough)
Ecology Research,🌸StarlinkDrifter🌸,14,11,151.21428571428572,19.0,14,1.8333333333333333,78.57,生态学研究,🌸星链漂流者🌸
Mass Converter,MorningStar Inc (breakthrough),52,29,102.34615384615384,89.0,52,1.8387096774193548,55.77,质能转换器,MorningStar Inc (breakthrough)
Specialized Settlement,Ecoline (breakthrough),15,10,93.26666666666667,21.0,15,1.84,66.67,专业定居点,Ecoline (breakthrough)
Diversity Support,🌸Integrated Microorganisms🌸,15,10,100.73333333333333,21.0,15,1.84,66.67,多样性扶持,🌸微生物星尘🌸
Molecular Printing,Polaris,28,15,85.25,45.0,28,1.8421052631578947,53.57,分子打印,北极星
Solar Farm,MorningStar Inc (breakthrough),28,17,104.5,45.0,28,1.8421052631578947,60.71,太阳能农场,MorningStar Inc (breakthrough)
Luxury Estate,Interplanetary Cinematics (breakthrough),54,30,95.53703703703704,93.0,54,1.84375,55.56,豪华别墅,Interplanetary Cinematics (breakthrough)
Fish,MorningStar Inc (breakthrough),29,13,103.20689655172414,47.0,29,1.8461538461538463,44.83,鱼,MorningStar Inc (breakthrough)
Hydrogen to Venus,Aphrodite (breakthrough),16,9,87.375,23.0,16,1.8461538461538463,56.25,输送氢气到金星,Aphrodite (breakthrough)
Kaguya Tech,Arklight (breakthrough),36,19,89.88888888888889,60.0,36,1.8478260869565217,52.78,辉夜科技,Arklight (breakthrough)
Jovian Defense Department,MorningStar Inc (breakthrough),36,20,110.66666666666667,60.0,36,1.8478260869565217,55.56,木星防空署,MorningStar Inc (breakthrough)
Bactoviral Research,MorningStar Inc (breakthrough),56,27,106.39285714285714,97.0,56,1.8484848484848484,48.21,细菌病毒研究,MorningStar Inc (breakthrough)
Cyanobacteria,🌸Energy Saving Ecology🌸,23,12,84.69565217391305,36.0,23,1.8484848484848484,52.17,蓝藻菌,🌸节能生态🌸
New Holland,🌸StarlinkDrifter🌸,10,8,141.4,12.0,10,1.85,80.0,新荷兰,🌸星链漂流者🌸
Red Tourism Wave,Aphrodite (breakthrough),10,8,94.9,12.0,10,1.85,80.0,红色旅游风潮,Aphrodite (breakthrough)
Greenhouses,Hecate Speditions,30,19,106.2,49.0,30,1.85,63.33,温室,赫卡忒探险队
Social Events,🌸Ark Nova🌸,10,8,102.7,12.0,10,1.85,80.0,社交活动,🌸方舟动物园🌸
Kaguya Tech,UNMI (breakthrough),17,9,88.11764705882354,25.0,17,1.8518518518518519,52.94,辉夜科技,UNMI (breakthrough)
Kaguya Tech,🌸MirrorCoat🌸,24,14,95.20833333333333,38.0,24,1.8529411764705883,58.33,辉夜科技,🌸镜反🌸
Public Spaceline,Splice (breakthrough),38,18,95.73684210526316,64.0,38,1.8541666666666667,47.37,公共太空航线,Splice (breakthrough)
Energy Market,Midas,32,21,86.40625,53.0,32,1.8571428571428572,65.62,能源市场,Midas
Forest Moon (VI),Ecoline (breakthrough),11,8,85.72727272727273,14.0,11,1.8571428571428572,72.73,Forest Moon (VI),Ecoline (breakthrough)
Directed Heat Usage,🌸MirrorCoat🌸,33,17,99.45454545454545,55.0,33,1.8604651162790697,51.52,热能定向利用,🌸镜反🌸
Luxury Estate,MorningStar Inc (breakthrough),26,16,116.07692307692308,42.0,26,1.8611111111111112,61.54,豪华别墅,MorningStar Inc (breakthrough)
Venusian Plants,🌸SolarPlant🌸,19,11,91.78947368421052,29.0,19,1.8620689655172413,57.89,金星植物,🌸太阳能公司🌸
Cyanobacteria,MorningStar Inc (breakthrough),48,27,100.39583333333333,83.0,48,1.8620689655172413,56.25,蓝藻菌,MorningStar Inc (breakthrough)
Earth Catapult,🌸Integrated Microorganisms🌸,77,39,99.01298701298701,137.0,77,1.8620689655172413,50.65,地球发射站,🌸微生物星尘🌸
Harvest,Aphrodite (breakthrough),19,11,87.42105263157895,29.0,19,1.8620689655172413,57.89,丰收,Aphrodite (breakthrough)
City Parks,🌸Integrated Microorganisms🌸,19,13,102.6842105263158,29.0,19,1.8620689655172413,68.42,城市公园,🌸微生物星尘🌸
Project Inspection,Brotherhood of Mutants,12,9,110.66666666666667,16.0,12,1.8636363636363635,75.0,项目检测,变种人兄弟会
AntiGravity Experiment,Arcadian Communities (breakthrough),12,9,99.5,16.0,12,1.8636363636363635,75.0,反重力先行试验,Arcadian Communities (breakthrough)
Sponsoring Nation,Manutech,12,9,123.66666666666667,16.0,12,1.8636363636363635,75.0,主办国,Manutech
Secret Labs,🌸Energy Saving Ecology🌸,27,16,85.48148148148148,44.0,27,1.864864864864865,59.26,秘密实验室,🌸节能生态🌸
Warp Drive,🌸Energy Saving Ecology🌸,27,17,88.5925925925926,44.0,27,1.864864864864865,62.96,曲率引擎,🌸节能生态🌸
Local Heat Trapping,Luna Chain,20,13,107.15,31.0,20,1.8666666666666667,65.0,本地的热量陷阱,连月
Mangrove,Interplanetary Cinematics (breakthrough),65,36,94.21538461538462,115.0,65,1.8666666666666667,55.38,红树林,Interplanetary Cinematics (breakthrough)
Underground Detonations,🌸StarlinkDrifter🌸,20,13,148.1,31.0,20,1.8666666666666667,65.0,地下爆破,🌸星链漂流者🌸
Event Analysts,MorningStar Inc (breakthrough),20,11,101.25,31.0,20,1.8666666666666667,55.0,事件分析,MorningStar Inc (breakthrough)
Lunar Embassy,MorningStar Inc (breakthrough),28,18,107.17857142857143,46.0,28,1.868421052631579,64.29,月球大使馆,MorningStar Inc (breakthrough)
Predators,Ringcom,13,10,103.53846153846153,18.0,13,1.8695652173913044,76.92,捕食者,Ringcom
Urgent Terraforming Command,Viron (breakthrough),13,8,105.15384615384616,18.0,13,1.8695652173913044,61.54,紧急改造令,Viron (breakthrough)
Geological Expedition,🌸Protogen🌸,13,9,94.53846153846153,18.0,13,1.8695652173913044,69.23,地质探险,🌸微生物热舞🌸
Magnetic Field Generators:ares,🌸Ark Nova🌸,21,14,101.66666666666667,33.0,21,1.8709677419354838,66.67,Magnetic Field Generators:ares,🌸方舟动物园🌸
Market Manipulation,MorningStar Inc (breakthrough),29,16,106.06896551724138,48.0,29,1.8717948717948718,55.17,操控市场,MorningStar Inc (breakthrough)
Think Tank,Vitor,29,14,105.20689655172414,48.0,29,1.8717948717948718,48.28,智库,Vitor
Urgent Terraforming Command,Ringcom,29,16,104.6896551724138,48.0,29,1.8717948717948718,55.17,紧急改造令,Ringcom
Luna Metropolis,MorningStar Inc (breakthrough),37,20,101.62162162162163,63.0,37,1.872340425531915,54.05,月神都会,MorningStar Inc (breakthrough)
Terraforming Control Station,MorningStar Inc (breakthrough),92,45,97.05434782608695,166.0,92,1.8725490196078431,48.91,改造控制站,MorningStar Inc (breakthrough)
AntiGravity Experiment,Sagitta Frontier Services,30,17,96.56666666666666,50.0,30,1.875,56.67,反重力先行试验,Sagitta Frontier Services
Permafrost Extraction,Manutech,14,9,113.57142857142857,20.0,14,1.875,64.29,冻土精炼,Manutech
Lunar Embassy,🌸MirrorCoat🌸,22,14,103.68181818181819,35.0,22,1.875,63.64,月球大使馆,🌸镜反🌸
