card_name,play_count,wins,avg_position,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,cn_name,cn_name_plot
Herbivores,329,237,1.2796352583586625,217.69908814589667,421.0,329,1.3156342182890854,72.04,食草动物,食草动物
Magnetic Field Generators:ares,197,146,1.2588832487309645,239.03553299492387,248.0,197,1.318840579710145,74.11,Magnetic Field Generators:ares,Magnetic Field Generators:ares
Terraforming Ganymede,550,384,1.3018181818181818,213.06545454545454,716.0,550,1.3232142857142857,69.82,改造木卫三,改造木卫三
Large Ecological Reserve,374,264,1.2941176470588236,214.1577540106952,484.0,374,1.3255208333333333,70.59,大型生态保护区,大型生态保护区
Ecological Survey,436,305,1.3004587155963303,204.10091743119267,567.0,436,1.3273542600896862,69.95,生态调查,生态调查
Bactoviral Research,657,453,1.3105022831050228,198.30593607305937,861.0,657,1.328335832083958,68.95,细菌病毒研究,细菌病毒研究
Extractor Balloons,194,141,1.2731958762886597,232.8659793814433,247.0,194,1.3333333333333333,72.68,热气球提取器,热气球提取器
Designed Organisms,396,274,1.3080808080808082,200.59848484848484,518.0,396,1.3374384236453203,69.19,生物体设计,生物体设计
Voltaic Metallurgy,183,132,1.278688524590164,213.34972677595627,234.0,183,1.3419689119170986,72.13,伏打冶金,伏打冶金
Nanofoundry,171,124,1.2748538011695907,219.19298245614036,218.0,171,1.3425414364640884,72.51,纳米铸造厂,纳米铸造厂
Clone Technology,402,275,1.3159203980099503,218.544776119403,529.0,402,1.3446601941747574,68.41,克隆科技,克隆科技
Tool with the First Order (VIII),195,139,1.2871794871794873,215.0871794871795,251.0,195,1.3463414634146342,71.28,Tool with the First Order (VIII),Tool with the First Order (VIII)
St. Joseph of Cupertino Mission,371,254,1.3153638814016173,220.6253369272237,488.0,371,1.3464566929133859,68.46,库比蒂诺圣约瑟夫传教团,库比蒂诺圣约瑟夫传教团
Forest Moon (VI),88,69,1.2159090909090908,276.6818181818182,107.0,88,1.346938775510204,78.41,Forest Moon (VI),Forest Moon (VI)
Urgent Terraforming Command,370,252,1.318918918918919,211.95675675675676,488.0,370,1.35,68.11,紧急改造令,紧急改造令
Project Inspection,583,390,1.3310463121783878,193.21440823327615,776.0,583,1.3507588532883643,66.9,项目检测,项目检测
Ecological Zone:ares,449,303,1.3251670378619154,198.1781737193764,595.0,449,1.3507625272331154,67.48,Ecological Zone:ares,Ecological Zone:ares
Lunar Observation Post,198,140,1.292929292929293,227.63636363636363,256.0,198,1.3509615384615385,70.71,月球观测站,月球观测站
Hydrothermal Vent Archaea,473,318,1.3276955602536997,198.0169133192389,628.0,473,1.3519668737060042,67.23,深海热泉细菌,深海热泉细菌
AntiGravity Experiment,557,372,1.3321364452423698,205.6588868940754,742.0,557,1.3527336860670194,66.79,反重力先行试验,反重力先行试验
Bioengineering Enclosure,276,190,1.3115942028985508,225.42753623188406,362.0,276,1.3531468531468531,68.84,生物工程组件,生物工程组件
Starcore Mining,644,426,1.3385093167701863,193.2189440993789,862.0,644,1.356269113149847,66.15,星核开采,星核开采
Community Worker,439,294,1.3302961275626424,213.64692482915717,584.0,439,1.356347438752784,66.97,社区工作者,社区工作者
Astra Mechanica,652,431,1.3389570552147239,194.20398773006136,873.0,652,1.3564954682779455,66.1,星械会,星械会
Public Spaceline,234,162,1.3076923076923077,195.86324786324786,306.0,234,1.3565573770491803,69.23,公共太空航线,公共太空航线
Urban Decomposers,418,280,1.3301435406698565,204.85885167464116,556.0,418,1.3574766355140186,66.99,都市分解者,都市分解者
Methane From Titan,460,306,1.3347826086956522,208.58260869565217,614.0,460,1.3595744680851063,66.52,来自泰坦的甲烷,来自泰坦的甲烷
Martian Lumber Corp,454,302,1.3348017621145374,203.88986784140968,606.0,454,1.3599137931034482,66.52,火星木材公司,火星木材公司
Solar Probe,652,428,1.343558282208589,195.08282208588957,876.0,652,1.3610271903323263,65.64,太阳探测器,太阳探测器
Cyanobacteria,350,235,1.3285714285714285,207.1342857142857,465.0,350,1.3611111111111112,67.14,蓝藻菌,蓝藻菌
Mangrove,407,271,1.3341523341523343,199.5921375921376,543.0,407,1.3621103117505995,66.58,红树林,红树林
Anti-Gravity Technology,668,437,1.345808383233533,196.1556886227545,899.0,668,1.3628318584070795,65.42,反重力科技,反重力科技
Ecology Research,471,311,1.3397027600849256,207.7112526539278,631.0,471,1.363825363825364,66.03,生态学研究,生态学研究
Dyson Screens,405,269,1.3358024691358024,197.8395061728395,541.0,405,1.363855421686747,66.42,戴森屏,戴森屏
Air Raid,468,309,1.3397435897435896,193.62820512820514,627.0,468,1.3640167364016735,66.03,空袭,空袭
Insulation,182,127,1.3021978021978022,222.23626373626374,237.0,182,1.3645833333333333,69.78,绝缘,绝缘
Ceres Spaceport,356,237,1.3342696629213484,205.26966292134833,475.0,356,1.366120218579235,66.57,谷神星太空港,谷神星太空港
Sulphur Exports,514,336,1.3463035019455254,204.01750972762645,692.0,514,1.368320610687023,65.37,硫磺出口贸易,硫磺出口贸易
Cloud Seeding,199,137,1.3115577889447236,226.1356783919598,261.0,199,1.368421052631579,68.84,人工降雨,人工降雨
Capital:ares,302,202,1.3311258278145695,222.75496688741723,402.0,302,1.3685897435897436,66.89,Capital:ares,Capital:ares
Martian Fencing,535,349,1.347663551401869,197.1607476635514,721.0,535,1.3688073394495412,65.23,火星击剑,火星击剑
Space Monster Park,581,378,1.3493975903614457,203.71256454388984,784.0,581,1.3688663282571911,65.06,太空怪兽乐园,太空怪兽乐园
Noctis Farming,494,323,1.3461538461538463,192.13765182186233,665.0,494,1.369047619047619,65.38,诺提斯农耕,诺提斯农耕
Lake Marineris,231,157,1.3203463203463204,224.1038961038961,305.0,231,1.3692946058091287,67.97,水手湖,水手湖
Martian Nature Wonders,277,186,1.3285198555956679,210.42238267148014,368.0,277,1.3693379790940767,67.15,火星自然遗产,火星自然遗产
Power Plant,542,353,1.348708487084871,190.96125461254613,731.0,542,1.3695652173913044,65.13,发电厂,发电厂
Luxury Foods,457,299,1.3457330415754925,202.49234135667396,615.0,457,1.3704496788008564,65.43,奢靡大餐,奢靡大餐
