card_name,play_count,wins,avg_position,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,cn_name,cn_name_plot
Declaration of Independence,47,23,1.8085106382978724,111.72340425531915,85.0,47,1.9298245614035088,48.94,独立宣言,独立宣言
Social Events,211,98,1.9099526066350712,104.27014218009478,403.0,211,1.9366515837104072,46.45,社交活动,社交活动
City Parks,423,171,2.00709219858156,91.49172576832152,849.0,423,2.0184757505773674,40.43,城市公园,城市公园
Ecological Zone,99,45,1.97979797979798,92.5959595959596,196.0,99,2.0275229357798166,45.45,生态保护区,生态保护区
Diversity Support,438,181,2.0342465753424657,97.82648401826484,891.0,438,2.044642857142857,41.32,多样性扶持,多样性扶持
GHG Shipment,364,158,2.0384615384615383,88.82417582417582,742.0,364,2.050802139037433,43.41,温室气体运输,温室气体运输
Urgent Terraforming Command,684,263,2.057017543859649,89.80409356725146,1407.0,684,2.063400576368876,38.45,紧急改造令,紧急改造令
City Park,386,148,2.064766839378238,98.89896373056995,797.0,386,2.0757575757575757,38.34,City Park,City Park
Robot Pollinators,739,290,2.0757780784844386,91.28146143437077,1534.0,739,2.081441922563418,39.24,机器授粉者,机器授粉者
Lake Marineris,390,137,2.076923076923077,90.88205128205128,810.0,390,2.0875,35.13,水手湖,水手湖
奇物丰收,279,107,2.075268817204301,91.39426523297492,579.0,279,2.0899653979238755,38.35,奇物丰收,奇物丰收
Ecology Research,714,266,2.092436974789916,94.55882352941177,1494.0,714,2.0980662983425415,37.25,生态学研究,生态学研究
Luna Senate,10,4,1.7,128.1,17.0,10,2.1,40.0,月球参议院,月球参议院
Insects,853,299,2.0961313012895664,90.86283704572098,1788.0,853,2.100811123986095,35.05,昆虫,昆虫
Aerosport Tournament,621,237,2.101449275362319,95.29790660225443,1305.0,621,2.1077654516640254,38.16,航空运动锦标赛,航空运动锦标赛
Crashlanding,157,58,2.089171974522293,91.89171974522293,328.0,157,2.1137724550898205,36.94,紧急迫降,紧急迫降
Forest Moon (VI),292,107,2.1027397260273974,90.90753424657534,614.0,292,2.115894039735099,36.64,Forest Moon (VI),Forest Moon (VI)
Terraforming Ganymede,1076,408,2.112453531598513,95.182156133829,2273.0,1076,2.116022099447514,37.92,改造木卫三,改造木卫三
Designed Organisms,1116,412,2.118279569892473,92.69802867383513,2364.0,1116,2.121669626998224,36.92,生物体设计,生物体设计
Magnetic Field Generators:ares,437,172,2.116704805491991,94.99313501144165,925.0,437,2.1252796420581657,39.36,Magnetic Field Generators:ares,Magnetic Field Generators:ares
Soil Enrichment,1261,466,2.1245043616177637,88.90087232355273,2679.0,1261,2.127458693941778,36.95,土壤改良,土壤改良
Venus Soils,409,150,2.1246943765281174,93.56479217603912,869.0,409,2.1336515513126493,36.67,金星土壤,金星土壤
Freyja Biodomes,947,335,2.1319957761351636,94.38753959873284,2019.0,947,2.135841170323929,35.37,弗雷雅生态馆,弗雷雅生态馆
Imported Nitrogen,1374,515,2.1404657933042213,90.69359534206696,2941.0,1374,2.143063583815029,37.48,引入氮气,引入氮气
Clone Technology,933,343,2.1414790996784565,91.43622722400858,1998.0,933,2.1452810180275717,36.76,克隆科技,克隆科技
Venera Base,886,319,2.1433408577878104,91.51467268623024,1899.0,886,2.1473214285714284,36.0,金星基地,金星基地
Maxwell Base,896,326,2.1439732142857144,94.76785714285714,1921.0,896,2.1479028697571745,36.38,麦克斯韦基地,麦克斯韦基地
Thorium Rush,17,7,1.9411764705882353,115.3529411764706,33.0,17,2.1481481481481484,41.18,钍金属狂潮,钍金属狂潮
Herbivores,528,193,2.1420454545454546,88.875,1131.0,528,2.1486988847583643,36.55,食草动物,食草动物
Tundra Farming,716,254,2.14804469273743,91.85474860335195,1538.0,716,2.152892561983471,35.47,冻原农耕,冻原农耕
Worms,717,263,2.1492329149232914,88.52440725244072,1541.0,717,2.154057771664374,36.68,蠕虫,蠕虫
Ecological Zone:ares,1444,521,2.153047091412742,89.35110803324099,3109.0,1444,2.155433287482806,36.08,Ecological Zone:ares,Ecological Zone:ares
Harvest,1311,454,2.154843630816171,88.80549199084668,2825.0,1311,2.157456472369417,34.63,丰收,丰收
Large Ecological Reserve,904,322,2.1537610619469025,89.76991150442478,1947.0,904,2.1575492341356672,35.62,大型生态保护区,大型生态保护区
Venusian Plants,878,310,2.156036446469248,93.04897494305239,1893.0,878,2.15990990990991,35.31,金星植物,金星植物
Nitrogen-Rich Asteroid,664,245,2.1551204819277108,91.54668674698796,1431.0,664,2.1602373887240356,36.9,富氮小行星,富氮小行星
Nanofoundry,520,189,2.1538461538461537,94.40192307692308,1120.0,520,2.160377358490566,36.35,纳米铸造厂,纳米铸造厂
Ocean Sanctuary,1464,531,2.1598360655737703,89.24658469945355,3162.0,1464,2.162143826322931,36.27,海豚,海豚
Open City,822,288,2.1581508515815084,90.35036496350365,1774.0,822,2.1622596153846154,35.04,开放的城市,开放的城市
Martian Express,474,166,2.1561181434599157,89.72151898734177,1022.0,474,2.1632231404958677,35.02,火星特快,火星特快
Frontier Town,1031,365,2.161008729388943,87.59068865179438,2228.0,1031,2.164265129682997,35.4,边疆小镇,边疆小镇
Mangrove,1241,429,2.161966156325544,88.94681708299758,2683.0,1241,2.16466826538769,34.57,红树林,红树林
Martian Lumber Corp,964,340,2.162863070539419,88.55290456431536,2085.0,964,2.166324435318275,35.27,火星木材公司,火星木材公司
