card_name,play_count,game_count,wins,avg_position,avg_score,total_weighted,count_weighted,avg_resources,weighted_avg_score,win_rate,cn_name,cn_name_plot
16 Psyche,1033,1033,301,2.4007744433688285,86.63891577928364,2480.0,1033,0.0,2.401725790987536,29.14,灵神星16,灵神星16
AI Central,1329,1329,376,2.468021068472536,85.51166290443943,3280.0,1329,0.0,2.4682598954443615,28.29,人工智能核心,人工智能核心
AI Controlled Mine Network,15,15,5,2.2666666666666666,106.13333333333334,34.0,15,0.0,2.36,33.33,AI控制采矿网络,AI控制采矿网络
Acidizing,1,1,0,2.0,106.0,2.0,1,0.0,2.4545454545454546,0.0,酸化处理,酸化处理
Acquired Company,777,777,193,2.5804375804375805,82.45045045045045,2005.0,777,0.0,2.579415501905972,24.84,并购公司,并购公司
Adaptation Technology,680,680,195,2.4529411764705884,84.85441176470589,1668.0,680,0.0,2.453623188405797,28.68,适应性技术,适应性技术
Adapted Lichen,403,403,119,2.404466501240695,85.32009925558313,969.0,403,0.0,2.406779661016949,29.53,自适应地衣,自适应地衣
Advanced Alloys,1640,1640,480,2.3920731707317073,85.18353658536586,3923.0,1640,0.0,2.3927272727272726,29.27,优化合金,优化合金
Advanced Ecosystems,1321,1321,449,2.2127176381529146,90.11430734292203,2923.0,1321,0.0,2.2148760330578514,33.99,先进的生态系统,先进的生态系统
Advanced Power Grid,685,685,200,2.386861313868613,85.74452554744525,1635.0,685,0.0,2.3884892086330933,29.2,电网改进,电网改进
Advertising,1080,1080,314,2.471296296296296,84.15648148148148,2669.0,1080,0.0,2.471559633027523,29.07,广告业,广告业
Aerial Lenses,152,152,46,2.289473684210526,79.14473684210526,348.0,152,0.0,2.302469135802469,30.26,对空透镜,对空透镜
Aerial Mappers,1534,1534,498,2.292046936114733,87.21903520208605,3516.0,1534,0.5651890482398957,2.29339378238342,32.46,航空制图器,航空制图器
Aerobraked Ammonia Asteroid,127,127,34,2.3307086614173227,90.51968503937007,296.0,127,0.0,2.343065693430657,26.77,氮气小行星,氮气小行星
Aerosport Tournament,621,621,237,2.101449275362319,95.29790660225443,1305.0,621,0.0,2.1077654516640254,38.16,航空运动锦标赛,航空运动锦标赛
Agro-Drones,137,137,42,2.3576642335766422,90.43065693430657,323.0,137,0.0,2.36734693877551,30.66,农业无人机,农业无人机
Air Raid,905,905,276,2.3171270718232044,86.57016574585636,2097.0,905,0.0,2.3191256830601095,30.5,空袭,空袭
Air-Scrapping Expedition,901,901,297,2.2308546059933407,88.24750277469478,2010.0,901,0.0,2.2338090010976948,32.96,金星改造远征队,金星改造远征队
Airliners,627,627,200,2.274322169059011,89.73365231259969,1426.0,627,0.0,2.2778649921507066,31.9,航空公司,航空公司
Algae,859,859,269,2.270081490104773,86.47613504074505,1950.0,859,0.0,2.272727272727273,31.32,海藻,海藻
Algae Bioreactors,8,8,6,1.5,117.875,12.0,8,0.0,2.0555555555555554,75.0,藻类生物反应器,藻类生物反应器
An Offer You Can't Refuse,95,95,35,2.1578947368421053,85.21052631578948,205.0,95,0.0,2.1904761904761907,36.84,一个无法拒绝的条件,一个无法拒绝的条件
Ansible,1186,1186,352,2.415682967959528,87.91989881956155,2865.0,1186,0.0,2.4163879598662206,29.68,安塞波,安塞波
Anthozoa,580,580,186,2.25,88.6448275862069,1305.0,580,2.7431034482758623,2.2542372881355934,32.07,珊瑚动物,珊瑚动物
Anti-Gravity Technology,1384,1384,523,2.1661849710982657,93.43280346820809,2998.0,1384,0.0,2.16857962697274,37.79,反重力科技,反重力科技
Anti-trust Crackdown,3,3,2,1.6666666666666667,109.33333333333333,5.0,3,0.0,2.3076923076923075,66.67,反垄断打击,反垄断打击
AntiGravity Experiment,1248,1248,446,2.1963141025641026,92.49599358974359,2741.0,1248,0.0,2.1987281399046106,35.74,反重力先行试验,反重力先行试验
Ants,1223,1223,381,2.3172526573998367,86.56336876533115,2834.0,1223,9.262469337694194,2.318734793187348,31.15,蚂蚁,蚂蚁
Aqueduct Systems,1192,1192,421,2.2181208053691277,89.44379194630872,2644.0,1192,0.0,2.220465890183028,35.32,导水系统,导水系统
Aquifer Pumping,129,129,30,2.488372093023256,83.2015503875969,321.0,129,0.0,2.4892086330935252,23.26,含水层抽水,含水层抽水
ArchaeBacteria,619,619,161,2.368336025848142,82.63489499192245,1466.0,619,0.0,2.370429252782194,26.01,古细菌类,古细菌类
Archimedes Hydroponics Station,114,114,31,2.3947368421052633,92.26315789473684,273.0,114,0.0,2.403225806451613,27.19,阿基米德水培站,阿基米德水培站
Arctic Algae,891,891,273,2.287317620650954,83.19753086419753,2038.0,891,0.0,2.2896781354051052,30.64,北极的藻类植物,北极的藻类植物
Aristarchus Road Network,11,11,3,2.5454545454545454,95.36363636363636,28.0,11,0.0,2.5238095238095237,27.27,阿里斯塔克斯街道网络,阿里斯塔克斯街道网络
Artesian Aquifer,8,8,5,1.75,106.375,14.0,8,0.0,2.1666666666666665,62.5,自流含水层,自流含水层
Artificial Lake,478,478,168,2.2301255230125525,89.26569037656904,1066.0,478,0.0,2.235655737704918,35.15,人工湖,人工湖
Artificial Photosynthesis,766,766,213,2.4817232375979112,83.70104438642298,1901.0,766,0.0,2.481958762886598,27.81,人造光合作用,人造光合作用
Asteroid,1314,1314,414,2.337138508371385,84.41704718417047,3071.0,1314,0.0,2.338368580060423,31.51,小行星,小行星
Asteroid Deflection System,762,762,237,2.3648293963254594,85.94488188976378,1802.0,762,1.2874015748031495,2.366580310880829,31.1,小行星防卫系统,小行星防卫系统
Asteroid Hollowing,84,84,17,2.7857142857142856,79.82142857142857,234.0,84,3.607142857142857,2.75531914893617,20.24,行星挖掘,行星挖掘
