colony_name,settlement_count,unique_games,wins,avg_position,position_sum,avg_settlements_per_game,win_rate,weighted_avg_position,cn_name,cn_name_plot
Miranda,718,461,444,1.3816155988857939,992.0,1.56,61.84,1.3863636363636365,天卫五,天卫五
Titania,363,283,226,1.3774104683195592,500.0,1.28,62.26,1.38676844783715,Titania,Titania
Enceladus,529,392,320,1.3950850661625709,738.0,1.35,60.49,1.4007155635062611,土卫二,土卫二
Ganymede,299,263,182,1.391304347826087,416.0,1.14,60.87,1.4012158054711246,木卫三,木卫三
Pallas,62,49,40,1.3548387096774193,84.0,1.27,64.52,1.4021739130434783,Pallas,Pallas
Venus,217,183,131,1.3963133640552996,303.0,1.19,60.37,1.408906882591093,金星标志,金星标志
Io,143,133,87,1.3916083916083917,199.0,1.08,60.84,1.4104046242774566,木卫一,木卫一
Iapetus II,116,96,70,1.396551724137931,162.0,1.21,60.34,1.417808219178082,Iapetus II,Iapetus II
Pluto,1803,956,1049,1.418191902384914,2557.0,1.89,58.18,1.419530823786143,冥王星,冥王星
Iapetus,770,430,447,1.4194805194805196,1093.0,1.79,58.05,1.4225,Iapetus,Iapetus
Triton,972,633,561,1.4228395061728396,1383.0,1.54,57.72,1.4251497005988023,海卫一,海卫一
Leavitt,680,427,392,1.423529411764706,968.0,1.59,57.65,1.4267605633802818,Leavitt,Leavitt
Titan,398,328,230,1.4221105527638191,566.0,1.21,57.79,1.4275700934579438,土卫六,土卫六
Europa,510,431,290,1.4313725490196079,730.0,1.18,56.86,1.4351851851851851,木卫二,木卫二
Ceres,647,479,361,1.4420401854714064,933.0,1.35,55.8,1.4446085672082718,谷神星,谷神星
Callisto,275,241,151,1.450909090909091,399.0,1.14,54.91,1.455737704918033,木卫四,木卫四
Luna,832,536,444,1.4663461538461537,1220.0,1.55,53.37,1.4675174013921113,月球,月球
Deimos,149,88,76,1.4899328859060403,222.0,1.69,51.01,1.4916201117318435,Deimos,Deimos
