colony_name,settlement_count,unique_games,wins,avg_position,position_sum,avg_score,avg_settlements_per_game,win_rate,weighted_avg_position,cn_name,cn_name_plot
Iapetus II,193,162,99,1.7046632124352332,329.0,164.3575129533679,1.19,51.3,1.811659192825112,Iapetus II,Iapetus II
Deimos,266,159,120,1.800751879699248,479.0,132.9248120300752,1.67,45.11,1.8716216216216217,Deimos,Deimos
Enceladus,2036,1498,877,1.9096267190569745,3888.0,122.23772102161101,1.36,43.07,1.9181994191674734,土卫二,土卫二
Miranda,2315,1488,979,1.9546436285097193,4525.0,129.49762419006478,1.56,42.29,1.9616204690831556,天卫五,天卫五
Venus,1102,896,451,2.011796733212341,2217.0,112.62976406533575,1.23,40.93,2.0247349823321557,金星标志,金星标志
Titan,1506,1171,596,2.0192563081009296,3041.0,120.90571049136786,1.29,39.58,2.0286458333333335,土卫六,土卫六
Iapetus,3622,1836,1419,2.0508006626173385,7428.0,110.03451131971286,1.97,39.18,2.054490690032859,Iapetus,Iapetus
Ganymede,1026,871,392,2.042884990253411,2096.0,106.79922027290448,1.18,38.21,2.055871212121212,木卫三,木卫三
Io,359,331,137,2.0250696378830084,727.0,114.11142061281338,1.08,38.16,2.0616966580976865,木卫一,木卫一
Titania,1545,953,602,2.058252427184466,3180.0,109.21423948220065,1.62,38.96,2.066666666666667,Titania,Titania
Callisto,821,699,289,2.0706455542021924,1700.0,110.18879415347138,1.17,35.2,2.0857814336075204,木卫四,木卫四
Europa,3364,2305,1168,2.1486325802615935,7228.0,92.22027348394768,1.46,34.72,2.1517383618149677,木卫二,木卫二
Ceres,3273,1941,1116,2.1824014665444547,7143.0,100.54903758020166,1.69,34.1,2.1852861035422344,谷神星,谷神星
Luna,3051,1915,1013,2.1842019010160603,6664.0,105.43985578498852,1.59,33.2,2.1872768581629343,月球,月球
Pluto,8786,3798,3017,2.204643751422718,19370.0,105.62736171181425,2.31,34.34,2.2056488203266786,冥王星,冥王星
Leavitt,2255,1437,784,2.203991130820399,4970.0,115.67494456762749,1.57,34.77,2.2078774617067833,Leavitt,Leavitt
Triton,6217,3105,2049,2.207817275213125,13726.0,98.581631011742,2.0,32.96,2.209220425804386,海卫一,海卫一
Pallas,762,520,244,2.3057742782152233,1757.0,90.53412073490814,1.47,32.02,2.313131313131313,Pallas,Pallas
