corporation,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,avg_generations,weighted_avg_score,win_rate,cn_name,cn_name_plot
Id Front,116,75,1.353448275862069,172.3706896551724,157.0,116,9.85344827586207,1.3835616438356164,64.66,前线基地,前线基地
Aphrodite (breakthrough),89,58,1.348314606741573,130.1573033707865,120.0,89,9.280898876404494,1.3865546218487395,65.17,Aphrodite (breakthrough),Aphrodite (breakthrough)
🌸Shinra Tech🌸,141,89,1.3687943262411348,149.17730496453902,193.0,141,9.148936170212766,1.391812865497076,63.12,🌸樱花电🌸,樱花电
Manutech,128,80,1.375,168.078125,176.0,128,9.78125,1.3987341772151898,62.5,Manutech,Manutech
🌸Green Leaf Dance🌸,60,39,1.35,123.8,81.0,60,8.716666666666667,1.4,65.0,🌸绿叶舞动🌸,绿叶舞动
Chaos,80,51,1.3625,158.85,109.0,80,9.6625,1.4,63.75,Chaos,Chaos
Terralabs Research (breakthrough),52,34,1.3461538461538463,171.96153846153845,70.0,52,9.884615384615385,1.4024390243902438,65.38,Terralabs Research (breakthrough),Terralabs Research (breakthrough)
Prism,126,78,1.380952380952381,190.44444444444446,174.0,126,9.761904761904763,1.4038461538461537,61.9,棱镜光谱研究室,棱镜光谱研究室
Imperial Star Destroyer,91,57,1.3736263736263736,162.0,125.0,91,9.87912087912088,1.4049586776859504,62.64,帝国歼星舰,帝国歼星舰
🌸Integrated Microorganisms🌸,121,74,1.3884297520661157,161.29752066115702,168.0,121,9.578512396694215,1.4105960264900663,61.16,🌸微生物星尘🌸,微生物星尘
Vitor,162,98,1.3950617283950617,157.58641975308643,226.0,162,9.61111111111111,1.4114583333333333,60.49,Vitor,Vitor
CrediCor,59,37,1.3728813559322033,127.8135593220339,81.0,59,9.40677966101695,1.4157303370786516,62.71,CrediCor,CrediCor
EcoTec,70,43,1.3857142857142857,124.71428571428571,97.0,70,9.3,1.42,61.43,EcoTec,EcoTec
🌸Protogen🌸,60,37,1.3833333333333333,130.35,83.0,60,8.783333333333333,1.4222222222222223,61.67,🌸微生物热舞🌸,微生物热舞
Spire,105,63,1.4,162.6952380952381,147.0,105,9.495238095238095,1.4222222222222223,60.0,Spire,Spire
Point Luna,190,111,1.4157894736842105,191.65263157894736,269.0,190,10.063157894736841,1.4272727272727272,58.42,Point Luna,Point Luna
🌸SolarPlant🌸,114,67,1.412280701754386,140.46491228070175,161.0,114,8.87719298245614,1.4305555555555556,58.77,🌸太阳能公司🌸,太阳能公司
🌸Ark Nova🌸,103,60,1.4174757281553398,191.55339805825244,146.0,103,9.563106796116505,1.4360902255639099,58.25,🌸方舟动物园🌸,方舟动物园
Millennium Falcon,63,37,1.4126984126984128,150.44444444444446,89.0,63,9.793650793650794,1.4408602150537635,58.73,千年隼,千年隼
Tharsis_republic (breakthrough),81,47,1.4197530864197532,130.02469135802468,115.0,81,9.777777777777779,1.4414414414414414,58.02,Tharsis_republic (breakthrough),Tharsis_republic (breakthrough)
Junk Ventures,56,33,1.4107142857142858,166.66071428571428,79.0,56,9.946428571428571,1.441860465116279,58.93,Junk Ventures,Junk Ventures
Interplanetary Cinematics (breakthrough),168,95,1.4345238095238095,135.58333333333334,241.0,168,9.755952380952381,1.4444444444444444,56.55,Interplanetary Cinematics (breakthrough),Interplanetary Cinematics (breakthrough)
🌸EliteTech🌸,53,31,1.4150943396226414,145.96226415094338,75.0,53,8.981132075471699,1.4457831325301205,58.49,🌸精英回馈🌸,精英回馈
UNMI (breakthrough),102,58,1.4313725490196079,126.38235294117646,146.0,102,9.362745098039216,1.446969696969697,56.86,UNMI (breakthrough),UNMI (breakthrough)
🌸双轨跃迁🌸,50,29,1.42,175.6,71.0,50,9.82,1.45,58.0,🌸双轨跃迁🌸,双轨跃迁
MorningStar Inc (breakthrough),180,100,1.4444444444444444,147.03333333333333,260.0,180,9.688888888888888,1.4523809523809523,55.56,MorningStar Inc (breakthrough),MorningStar Inc (breakthrough)
Curiosity II,56,32,1.4285714285714286,165.41071428571428,80.0,56,9.910714285714286,1.4534883720930232,57.14,Curiosity II,Curiosity II
Teractor (breakthrough),156,86,1.4487179487179487,154.06410256410257,226.0,156,9.871794871794872,1.456989247311828,55.13,Teractor (breakthrough),Teractor (breakthrough)
🌸Buy N Large🌸,31,18,1.4193548387096775,104.03225806451613,44.0,31,8.580645161290322,1.459016393442623,58.06,🌸大巨购🌸,大巨购
Aridor,105,58,1.4476190476190476,160.8095238095238,152.0,105,9.904761904761905,1.4592592592592593,55.24,Aridor,Aridor
Poseidon,98,54,1.4489795918367347,145.72448979591837,142.0,98,9.989795918367347,1.4609375,55.1,Poseidon,Poseidon
Ecoline (breakthrough),84,46,1.4523809523809523,110.17857142857143,122.0,84,9.404761904761905,1.4649122807017543,54.76,Ecoline (breakthrough),Ecoline (breakthrough)
Polaris,34,19,1.4411764705882353,106.17647058823529,49.0,34,8.264705882352942,1.46875,55.88,北极星,北极星
🌸Prowler🌸,38,21,1.4473684210526316,131.18421052631578,55.0,38,9.736842105263158,1.4705882352941178,55.26,🌸徘徊者🌸,徘徊者
Collegium Copernicus,40,22,1.45,162.9,58.0,40,9.725,1.4714285714285715,55.0,哥白尼学院,哥白尼学院
Runciter Associates,80,43,1.4625,169.1625,117.0,80,10.1125,1.4727272727272727,53.75,朗西斯联合公司,朗西斯联合公司
🌸Scolex Industries🌸,120,63,1.475,156.55833333333334,177.0,120,9.616666666666667,1.48,52.5,🌸星核工业🌸,星核工业
雩喵科学探测器,74,39,1.472972972972973,158.7972972972973,109.0,74,9.58108108108108,1.4807692307692308,52.7,雩喵科学探测器,雩喵科学探测器
Robinson Industries (breakthrough),103,54,1.4757281553398058,134.61165048543688,152.0,103,9.601941747572816,1.481203007518797,52.43,Robinson Industries (breakthrough),Robinson Industries (breakthrough)
Celestic (breakthrough),134,70,1.4776119402985075,149.3507462686567,198.0,134,9.925373134328359,1.4817073170731707,52.24,Celestic (breakthrough),Celestic (breakthrough)
🌸MirrorCoat🌸,57,30,1.4736842105263157,155.49122807017545,84.0,57,9.368421052631579,1.4827586206896552,52.63,🌸镜反🌸,镜反
Arklight (breakthrough),71,37,1.4788732394366197,176.14084507042253,105.0,71,10.04225352112676,1.4851485148514851,52.11,Arklight (breakthrough),Arklight (breakthrough)
🌸StarlinkDrifter🌸,73,38,1.4794520547945205,185.63013698630138,108.0,73,9.794520547945206,1.4854368932038835,52.05,🌸星链漂流者🌸,星链漂流者
Ambient,50,26,1.48,124.82,74.0,50,9.04,1.4875,52.0,,
Sagitta Frontier Services,62,32,1.4838709677419355,141.51612903225808,92.0,62,9.516129032258064,1.4891304347826086,51.61,Sagitta Frontier Services,Sagitta Frontier Services
🌸Mining Corp🌸,77,39,1.4935064935064934,143.54545454545453,115.0,77,9.623376623376624,1.4953271028037383,50.65,🌸钢铁精炼🌸,钢铁精炼
Valley Trust (breakthrough),242,122,1.4958677685950412,148.20661157024793,362.0,242,9.801652892561984,1.4963235294117647,50.41,Valley Trust (breakthrough),Valley Trust (breakthrough)
🌸Tyrell🌸,98,49,1.5,146.1530612244898,147.0,98,9.63265306122449,1.5,50.0,🌸泰瑞尔公司🌸,泰瑞尔公司
Pobolog (breakthrough),160,80,1.5,144.0,240.0,160,9.6,1.5,50.0,Pobolog (breakthrough),Pobolog (breakthrough)
Trade Navigator,84,42,1.5,171.52380952380952,126.0,84,10.321428571428571,1.5,50.0,贸易领航者,贸易领航者
Splice (breakthrough),107,52,1.514018691588785,135.17757009345794,162.0,107,9.532710280373832,1.510948905109489,48.6,Splice (breakthrough),Splice (breakthrough)
United Nations Mission One,42,20,1.5238095238095237,135.28571428571428,64.0,42,9.547619047619047,1.5138888888888888,47.62,United Nations Mission One,United Nations Mission One
Philares,40,19,1.525,138.55,61.0,40,9.75,1.5142857142857142,47.5,,
Mars Maths,38,18,1.5263157894736843,166.3421052631579,58.0,38,9.842105263157896,1.5147058823529411,47.37,Mars Maths,Mars Maths
Playwrights,34,16,1.5294117647058822,118.05882352941177,52.0,34,9.147058823529411,1.515625,47.06,Playwrights,Playwrights
Factorum (breakthrough),127,61,1.5196850393700787,152.36220472440945,193.0,127,10.031496062992126,1.515923566878981,48.03,Factorum (breakthrough),Factorum (breakthrough)
Inventrix (breakthrough),150,72,1.52,154.72,228.0,150,10.226666666666667,1.5166666666666666,48.0,Inventrix (breakthrough),Inventrix (breakthrough)
Tycho Magnetics,115,55,1.5217391304347827,160.2,175.0,115,9.956521739130435,1.5172413793103448,47.83,第谷磁力,第谷磁力
