corporation,games_2p,weighted_2p,games_4p,weighted_4p,cn_name,cn_name_plot
Id Front,116,1.3835616438356164,77,2.3551401869158877,前线基地,前线基地
Aphrodite (breakthrough),89,1.3865546218487395,165,1.9897435897435898,Aphrodite (breakthrough),Aphrodite (breakthrough)
🌸Shinra Tech🌸,141,1.391812865497076,694,2.5,🌸樱花电🌸,樱花电
Manutech,128,1.3987341772151898,423,2.5386313465783665,Manutech,Manutech
🌸Green Leaf Dance🌸,60,1.4,308,2.1272189349112427,🌸绿叶舞动🌸,绿叶舞动
Chaos,80,1.4,162,2.4166666666666665,Chaos,Chaos
Terralabs Research (breakthrough),52,1.4024390243902438,354,2.6901041666666665,Terralabs Research (breakthrough),Terralabs Research (breakthrough)
Prism,126,1.4038461538461537,527,2.649910233393178,棱镜光谱研究室,棱镜光谱研究室
Imperial Star Destroyer,91,1.4049586776859504,114,2.4583333333333335,帝国歼星舰,帝国歼星舰
🌸Integrated Microorganisms🌸,121,1.4105960264900663,743,2.4100905562742563,🌸微生物星尘🌸,微生物星尘
Vitor,162,1.4114583333333333,801,2.3826714801444044,Vitor,Vitor
CrediCor,59,1.4157303370786516,385,2.450602409638554,CrediCor,CrediCor
EcoTec,70,1.42,335,2.3424657534246576,EcoTec,EcoTec
🌸Protogen🌸,60,1.4222222222222223,322,2.3295454545454546,🌸微生物热舞🌸,微生物热舞
Spire,105,1.4222222222222223,572,2.383720930232558,Spire,Spire
Point Luna,190,1.4272727272727272,908,2.628997867803838,Point Luna,Point Luna
🌸SolarPlant🌸,114,1.4305555555555556,532,2.3843416370106763,🌸太阳能公司🌸,太阳能公司
🌸Ark Nova🌸,103,1.4360902255639099,588,2.5809061488673137,🌸方舟动物园🌸,方舟动物园
Millennium Falcon,63,1.4408602150537635,91,2.6363636363636362,千年隼,千年隼
Tharsis_republic (breakthrough),81,1.4414414414414414,161,2.486910994764398,Tharsis_republic (breakthrough),Tharsis_republic (breakthrough)
Junk Ventures,56,1.441860465116279,112,3.1267605633802815,Junk Ventures,Junk Ventures
Interplanetary Cinematics (breakthrough),168,1.4444444444444444,852,2.383219954648526,Interplanetary Cinematics (breakthrough),Interplanetary Cinematics (breakthrough)
🌸EliteTech🌸,53,1.4457831325301205,685,2.5538461538461537,🌸精英回馈🌸,精英回馈
UNMI (breakthrough),102,1.446969696969697,194,2.25,UNMI (breakthrough),UNMI (breakthrough)
🌸双轨跃迁🌸,50,1.45,192,2.8018018018018016,🌸双轨跃迁🌸,双轨跃迁
MorningStar Inc (breakthrough),180,1.4523809523809523,528,2.1810035842293907,MorningStar Inc (breakthrough),MorningStar Inc (breakthrough)
Curiosity II,56,1.4534883720930232,56,2.813953488372093,Curiosity II,Curiosity II
Teractor (breakthrough),156,1.456989247311828,811,2.5481569560047563,Teractor (breakthrough),Teractor (breakthrough)
🌸Buy N Large🌸,31,1.459016393442623,243,2.2747252747252746,🌸大巨购🌸,大巨购
Aridor,105,1.4592592592592593,91,2.6859504132231407,Aridor,Aridor
Poseidon,98,1.4609375,518,2.6313868613138687,Poseidon,Poseidon
Ecoline (breakthrough),84,1.4649122807017543,344,2.171122994652406,Ecoline (breakthrough),Ecoline (breakthrough)
Polaris,34,1.46875,426,2.4078947368421053,北极星,北极星
🌸Prowler🌸,38,1.4705882352941178,484,2.291828793774319,🌸徘徊者🌸,徘徊者
Collegium Copernicus,40,1.4714285714285715,188,2.8394495412844036,哥白尼学院,哥白尼学院
Runciter Associates,80,1.4727272727272727,86,2.8189655172413794,朗西斯联合公司,朗西斯联合公司
🌸Scolex Industries🌸,120,1.48,658,2.441860465116279,🌸星核工业🌸,星核工业
雩喵科学探测器,74,1.4807692307692308,724,2.6392572944297084,雩喵科学探测器,雩喵科学探测器
Robinson Industries (breakthrough),103,1.481203007518797,43,2.6575342465753424,Robinson Industries (breakthrough),Robinson Industries (breakthrough)
