corporation,players,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,avg_generations,weighted_avg_score,win_rate,cn_name,cn_name_plot
Aphrodite (breakthrough),4,165,74,1.896969696969697,82.94545454545455,313.0,165,6.042424242424242,1.9314285714285715,44.85,Aphrodite (breakthrough),Aphrodite (breakthrough)
Brotherhood of Mutants,4,43,21,1.9069767441860466,91.0,82.0,43,6.046511627906977,2.018867924528302,48.84,变种人兄弟会,变种人兄弟会
🌸Green Leaf Dance🌸,4,308,107,2.090909090909091,77.76298701298701,644.0,308,5.571428571428571,2.1037735849056602,34.74,🌸绿叶舞动🌸,绿叶舞动
Eglogue,4,299,96,2.1237458193979935,71.56521739130434,635.0,299,5.036789297658863,2.1359223300970873,32.11,Eglogue,Eglogue
Ecoline (breakthrough),4,344,110,2.1424418604651163,77.34593023255815,737.0,344,5.837209302325581,2.152542372881356,31.98,Ecoline (breakthrough),Ecoline (breakthrough)
MorningStar Inc (breakthrough),4,528,191,2.162878787878788,90.69128787878788,1142.0,528,6.40719696969697,2.1691449814126393,36.17,MorningStar Inc (breakthrough),MorningStar Inc (breakthrough)
UNMI (breakthrough),4,194,59,2.211340206185567,74.9381443298969,429.0,194,6.097938144329897,2.2254901960784315,30.41,UNMI (breakthrough),UNMI (breakthrough)
🌸Thermopoli🌸,4,176,62,2.221590909090909,74.375,391.0,176,5.2897727272727275,2.236559139784946,35.23,🌸精灵热舞🌸,精灵热舞
Ringcom,4,765,241,2.237908496732026,85.3437908496732,1712.0,765,5.790849673202614,2.241290322580645,31.5,Ringcom,Ringcom
🌸Buy N Large🌸,4,243,78,2.246913580246914,77.53909465020575,546.0,243,5.559670781893004,2.2569169960474307,32.1,🌸大巨购🌸,大巨购
United Nations Mission One,4,399,120,2.2531328320802007,69.38847117794487,899.0,399,4.398496240601504,2.259168704156479,30.08,United Nations Mission One,United Nations Mission One
PolderTECH Dutch,4,128,41,2.2421875,39.296875,287.0,128,1.53125,2.260869565217391,32.03,荷兰圩田科技,荷兰圩田科技
Arcadian Communities (breakthrough),4,390,122,2.258974358974359,77.81538461538462,881.0,390,5.748717948717949,2.265,31.28,Arcadian Communities (breakthrough),Arcadian Communities (breakthrough)
Splice (breakthrough),4,702,215,2.264957264957265,81.92307692307692,1590.0,702,5.833333333333333,2.268258426966292,30.63,Splice (breakthrough),Splice (breakthrough)
🌸Prowler🌸,4,484,142,2.2789256198347108,77.94834710743801,1103.0,484,5.663223140495868,2.283400809716599,29.34,🌸徘徊者🌸,徘徊者
🌸RDA🌸,4,364,109,2.282967032967033,75.28846153846153,831.0,364,5.582417582417582,2.2887700534759357,29.95,🌸RDA🌸,RDA
Eris,4,7,2,2.0,76.28571428571429,14.0,7,6.142857142857143,2.2941176470588234,28.57,Eris,Eris
Soylent Seedling Systems,4,184,47,2.3043478260869565,48.755434782608695,424.0,184,2.5489130434782608,2.314432989690722,25.54,索伦特幼苗系统,索伦特幼苗系统
🌸Energy Saving Ecology🌸,4,395,119,2.311392405063291,73.8379746835443,913.0,395,5.3822784810126585,2.3160493827160495,30.13,🌸节能生态🌸,节能生态
🌸Protogen🌸,4,322,86,2.313664596273292,76.2639751552795,745.0,322,5.549689440993789,2.319277108433735,26.71,🌸微生物热舞🌸,微生物热舞
Id Front,4,77,27,2.2987012987012987,93.87012987012987,177.0,77,7.220779220779221,2.32183908045977,35.06,前线基地,前线基地
EcoTec,4,335,89,2.328358208955224,75.27761194029851,780.0,335,5.71044776119403,2.3333333333333335,26.57,EcoTec,EcoTec
Earth Cat Cult,4,55,19,2.309090909090909,76.54545454545455,127.0,55,5.618181818181818,2.3384615384615386,34.55,Earth Cat Cult,Earth Cat Cult
Ambient,4,368,100,2.345108695652174,77.42663043478261,863.0,368,5.611413043478261,2.3492063492063493,27.17,,
Celestic (breakthrough),4,855,249,2.3485380116959065,82.8233918128655,2008.0,855,6.008187134502924,2.3502890173410407,29.12,Celestic (breakthrough),Celestic (breakthrough)
Mind Set Mars,4,4,1,2.0,83.0,8.0,4,6.75,2.357142857142857,25.0,Mind Set Mars,Mind Set Mars
🌸MirrorCoat🌸,4,291,91,2.3539518900343643,81.3917525773196,685.0,291,5.951890034364261,2.3588039867109636,31.27,🌸镜反🌸,镜反
Spire,4,572,175,2.3776223776223775,79.4020979020979,1360.0,572,5.753496503496503,2.379725085910653,30.59,Spire,Spire
Vitor,4,801,250,2.3782771535580522,83.60174781523096,1905.0,801,5.863920099875156,2.379778051787916,31.21,Vitor,Vitor
🌸SolarPlant🌸,4,532,145,2.3778195488721803,75.60338345864662,1265.0,532,5.657894736842105,2.3800738007380073,27.26,🌸太阳能公司🌸,太阳能公司
Interplanetary Cinematics (breakthrough),4,852,260,2.3791079812206575,78.49530516431925,2027.0,852,5.806338028169014,2.3805104408352666,30.52,Interplanetary Cinematics (breakthrough),Interplanetary Cinematics (breakthrough)
Septem Tribus,4,126,41,2.380952380952381,79.01587301587301,300.0,126,6.063492063492063,2.389705882352941,32.54,Septem Tribus,Septem Tribus
Philares,4,66,19,2.378787878787879,74.45454545454545,157.0,66,6.454545454545454,2.3947368421052633,28.79,,
Polaris,4,426,110,2.4014084507042255,71.43427230046949,1023.0,426,5.284037558685446,2.403669724770642,25.82,北极星,北极星
Chaos,4,162,47,2.4012345679012346,80.89506172839506,389.0,162,6.018518518518518,2.4069767441860463,29.01,Chaos,Chaos
🌸Integrated Microorganisms🌸,4,743,208,2.4064602960969044,79.42395693135936,1788.0,743,5.72678331090175,2.407702523240372,27.99,🌸微生物星尘🌸,微生物星尘
Hecate Speditions,4,265,72,2.4113207547169813,84.59622641509434,639.0,265,5.7924528301886795,2.4145454545454546,27.17,赫卡忒探险队,赫卡忒探险队
Arborist Collective,4,2,1,2.0,75.0,4.0,2,7.0,2.4166666666666665,50.0,树木学家集体,树木学家集体
🌸Scolex Industries🌸,4,658,175,2.439209726443769,78.29939209726444,1605.0,658,5.890577507598784,2.440119760479042,26.6,🌸星核工业🌸,星核工业
Aurorai,4,146,43,2.4383561643835616,41.513698630136986,356.0,146,1.8424657534246576,2.4423076923076925,29.45,Aurorai,Aurorai
Agricola Inc,4,8,2,2.375,87.375,19.0,8,6.875,2.4444444444444446,25.0,Agricola Inc,Agricola Inc
Pobolog (breakthrough),4,714,194,2.4453781512605044,79.74369747899159,1746.0,714,5.96218487394958,2.446132596685083,27.17,Pobolog (breakthrough),Pobolog (breakthrough)
CrediCor,4,385,85,2.446753246753247,62.32207792207792,942.0,385,4.34025974025974,2.448101265822785,22.08,CrediCor,CrediCor
Imperial Star Destroyer,4,114,27,2.4473684210526314,91.00877192982456,279.0,114,6.675438596491228,2.4516129032258065,23.68,帝国歼星舰,帝国歼星舰
Keplertec,4,1,0,2.0,95.0,2.0,1,6.0,2.4545454545454546,0.0,Keplertec,Keplertec
Voltagon,4,1,0,2.0,99.0,2.0,1,6.0,2.4545454545454546,0.0,Voltagon,Voltagon
Sagitta Frontier Services,4,298,75,2.4630872483221475,77.32214765100672,734.0,298,5.906040268456376,2.4642857142857144,25.17,Sagitta Frontier Services,Sagitta Frontier Services
Steelaris,4,76,18,2.460526315789474,73.73684210526316,187.0,76,5.723684210526316,2.4651162790697674,23.68,钢之星,钢之星
Lakefront Resorts,4,353,75,2.4730878186968837,72.45325779036827,873.0,353,5.606232294617564,2.4738292011019283,21.25,湖畔度假区,湖畔度假区
