corporation,players,total_games,wins,avg_position,avg_score,avg_generations,win_rate,cn_name,cn_name_plot
Terralabs Research,4,7,4,1.8571428571428572,88.28571428571429,9.857142857142858,57.14,地球化实验室,地球化实验室
Arborist Collective,4,2,1,2.0,75.0,7.0,50.0,树木学家集体,树木学家集体
Brotherhood of Mutants,4,43,21,1.9069767441860466,91.0,6.046511627906977,48.84,变种人兄弟会,变种人兄弟会
Valley Trust,4,50,24,1.98,78.08,8.72,48.0,Valley Trust,Valley Trust
Aphrodite (breakthrough),4,165,74,1.896969696969697,82.94545454545455,6.042424242424242,44.85,Aphrodite (breakthrough),Aphrodite (breakthrough)
Tharsis Republic,4,49,21,1.8775510204081634,84.71428571428571,9.489795918367347,42.86,Tharsis Republic,Tharsis Republic
Arcadian Communities,4,5,2,2.0,75.2,9.4,40.0,阿卡迪亚社区,阿卡迪亚社区
Aphrodite,4,16,6,2.375,74.0625,8.5625,37.5,Aphrodite,Aphrodite
Interplanetary Cinematics,4,16,6,2.0625,80.8125,9.875,37.5,Interplanetary Cinematics,Interplanetary Cinematics
Polyphemos,4,8,3,1.875,80.5,8.875,37.5,Polyphemos,Polyphemos
MorningStar Inc (breakthrough),4,528,191,2.162878787878788,90.69128787878788,6.40719696969697,36.17,MorningStar Inc (breakthrough),MorningStar Inc (breakthrough)
🌸Thermopoli🌸,4,176,62,2.221590909090909,74.375,5.2897727272727275,35.23,🌸精灵热舞🌸,精灵热舞
Id Front,4,77,27,2.2987012987012987,93.87012987012987,7.220779220779221,35.06,前线基地,前线基地
🌸Green Leaf Dance🌸,4,309,108,2.087378640776699,77.87378640776699,5.585760517799352,34.95,🌸绿叶舞动🌸,绿叶舞动
Septem Tribus,4,133,46,2.345864661654135,79.73684210526316,6.225563909774436,34.59,Septem Tribus,Septem Tribus
Earth Cat Cult,4,55,19,2.309090909090909,76.54545454545455,5.618181818181818,34.55,Earth Cat Cult,Earth Cat Cult
Jenson-Boyle & Co,4,6,2,2.5,78.0,6.833333333333333,33.33,詹森-博伊尔公司,詹森-博伊尔公司
Pristar,4,6,2,2.1666666666666665,75.83333333333333,9.0,33.33,革命制度党明星,革命制度党明星
PolderTECH Dutch,4,132,43,2.242424242424242,40.03787878787879,1.7121212121212122,32.58,荷兰圩田科技,荷兰圩田科技
Eglogue,4,299,96,2.1237458193979935,71.56521739130434,5.036789297658863,32.11,Eglogue,Eglogue
🌸Buy N Large🌸,4,243,78,2.246913580246914,77.53909465020575,5.559670781893004,32.1,🌸大巨购🌸,大巨购
Ecoline (breakthrough),4,344,110,2.1424418604651163,77.34593023255815,5.837209302325581,31.98,Ecoline (breakthrough),Ecoline (breakthrough)
Ringcom,4,765,241,2.237908496732026,85.3437908496732,5.790849673202614,31.5,Ringcom,Ringcom
Arcadian Communities (breakthrough),4,390,122,2.258974358974359,77.81538461538462,5.748717948717949,31.28,Arcadian Communities (breakthrough),Arcadian Communities (breakthrough)
🌸MirrorCoat🌸,4,291,91,2.3539518900343643,81.3917525773196,5.951890034364261,31.27,🌸镜反🌸,镜反
Teractor,4,48,15,2.3541666666666665,73.125,9.229166666666666,31.25,Teractor,Teractor
Spire,4,597,184,2.3651591289782243,79.44221105527639,5.874371859296482,30.82,Spire,Spire
Vitor,4,828,254,2.393719806763285,83.32125603864735,5.971014492753623,30.68,Vitor,Vitor
Splice (breakthrough),4,702,215,2.264957264957265,81.92307692307692,5.833333333333333,30.63,Splice (breakthrough),Splice (breakthrough)
Interplanetary Cinematics (breakthrough),4,852,260,2.3791079812206575,78.49530516431925,5.806338028169014,30.52,Interplanetary Cinematics (breakthrough),Interplanetary Cinematics (breakthrough)
UNMI (breakthrough),4,194,59,2.211340206185567,74.9381443298969,6.097938144329897,30.41,UNMI (breakthrough),UNMI (breakthrough)
United Nations Mission One,4,400,121,2.25,69.46,4.41,30.25,United Nations Mission One,United Nations Mission One
🌸Energy Saving Ecology🌸,4,396,119,2.3106060606060606,73.79040404040404,5.386363636363637,30.05,🌸节能生态🌸,节能生态
🌸RDA🌸,4,365,109,2.2849315068493152,75.24109589041096,5.5917808219178085,29.86,🌸RDA🌸,RDA
Aurorai,4,146,43,2.4383561643835616,41.513698630136986,1.8424657534246576,29.45,Aurorai,Aurorai
🌸Prowler🌸,4,484,142,2.2789256198347108,77.94834710743801,5.663223140495868,29.34,🌸徘徊者🌸,徘徊者
Celestic (breakthrough),4,855,249,2.3485380116959065,82.8233918128655,6.008187134502924,29.12,Celestic (breakthrough),Celestic (breakthrough)
