combination,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,cn_name_plot
Aphrodite (breakthrough) + MorningStar Inc (breakthrough),29,16,1.5172413793103448,108.37931034482759,44.0,29,1.7692307692307692,55.17,Aphrodite (breakthrough) + MorningStar Inc (breakthrough)
Aphrodite (breakthrough) + UNMI (breakthrough),21,13,1.4285714285714286,114.76190476190476,30.0,21,1.7741935483870968,61.9,Aphrodite (breakthrough) + UNMI (breakthrough)
Ringcom + Vitor,29,18,1.5517241379310345,97.55172413793103,45.0,29,1.794871794871795,62.07,Ringcom + Vitor
Lakefront Resorts + 🌸Green Leaf Dance🌸,21,13,1.4761904761904763,73.19047619047619,31.0,21,1.8064516129032258,61.9,湖畔度假区 + 🌸绿叶舞动🌸
Id Front + Prism,12,10,1.25,269.1666666666667,15.0,12,1.8181818181818181,83.33,前线基地 + 棱镜光谱研究室
EcoTec + 🌸Buy N Large🌸,27,16,1.5925925925925926,85.70370370370371,43.0,27,1.837837837837838,59.26,EcoTec + 🌸大巨购🌸
Ambient + MorningStar Inc (breakthrough),48,24,1.7083333333333333,99.9375,82.0,48,1.8448275862068966,50.0, + MorningStar Inc (breakthrough)
Aphrodite (breakthrough) + Splice (breakthrough),10,8,1.2,104.1,12.0,10,1.85,80.0,Aphrodite (breakthrough) + Splice (breakthrough)
Splice (breakthrough) + 🌸Integrated Microorganisms🌸,107,52,1.8037383177570094,102.95327102803738,193.0,107,1.8632478632478633,48.6,Splice (breakthrough) + 🌸微生物星尘🌸
Aphrodite (breakthrough) + Ecoline (breakthrough),13,8,1.3846153846153846,80.76923076923077,18.0,13,1.8695652173913044,61.54,Aphrodite (breakthrough) + Ecoline (breakthrough)
Interplanetary Cinematics (breakthrough) + UNMI (breakthrough),14,8,1.4285714285714286,97.78571428571429,20.0,14,1.875,57.14,Interplanetary Cinematics (breakthrough) + UNMI (breakthrough)
UNMI (breakthrough) + United Nations Mission One,29,13,1.6896551724137931,92.10344827586206,49.0,29,1.8974358974358974,44.83,UNMI (breakthrough) + United Nations Mission One
Aurorai + UNMI (breakthrough),10,8,1.3,89.8,13.0,10,1.9,80.0,Aurorai + UNMI (breakthrough)
🌸Ark Nova🌸 + 🌸MirrorCoat🌸,20,13,1.6,95.0,32.0,20,1.9,65.0,🌸方舟动物园🌸 + 🌸镜反🌸
Ambient + Aphrodite (breakthrough),20,11,1.6,97.45,32.0,20,1.9,55.0, + Aphrodite (breakthrough)
🌸Energy Saving Ecology🌸 + 🌸Scolex Industries🌸,12,8,1.4166666666666667,90.66666666666667,17.0,12,1.9090909090909092,66.67,🌸节能生态🌸 + 🌸星核工业🌸
Celestic (breakthrough) + Vitor,53,28,1.8113207547169812,108.16981132075472,96.0,53,1.9206349206349207,52.83,Celestic (breakthrough) + Vitor
Eglogue + 🌸Green Leaf Dance🌸,25,13,1.72,73.2,43.0,25,1.9428571428571428,52.0,Eglogue + 🌸绿叶舞动🌸
Manutech + 🌸Scolex Industries🌸,34,18,1.7941176470588236,99.20588235294117,61.0,34,1.9545454545454546,52.94,Manutech + 🌸星核工业🌸
Robinson Industries (breakthrough) + Viron (breakthrough),16,8,1.625,107.8125,26.0,16,1.9615384615384615,50.0,Robinson Industries (breakthrough) + Viron (breakthrough)
Valley Trust (breakthrough) + Vitor,47,22,1.851063829787234,94.59574468085107,87.0,47,1.9649122807017543,46.81,Valley Trust (breakthrough) + Vitor
MorningStar Inc (breakthrough) + Viron (breakthrough),20,14,1.7,116.25,34.0,20,1.9666666666666666,70.0,MorningStar Inc (breakthrough) + Viron (breakthrough)
