corporation,total_games,wins,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,cn_name,cn_name_plot
Valley Trust (breakthrough),959,227,78.99165797705943,2453.0,959,2.557275541795666,23.67,Valley Trust (breakthrough),Valley Trust (breakthrough)
Point Luna,908,225,77.9988986784141,2391.0,908,2.6318082788671022,24.78,Point Luna,Point Luna
Celestic (breakthrough),855,249,82.8233918128655,2008.0,855,2.3502890173410407,29.12,Celestic (breakthrough),Celestic (breakthrough)
Interplanetary Cinematics (breakthrough),852,260,78.49530516431925,2027.0,852,2.3805104408352666,30.52,Interplanetary Cinematics (breakthrough),Interplanetary Cinematics (breakthrough)
🌸Weyland Yutani🌸,852,175,77.91197183098592,2244.0,852,2.6322505800464038,20.54,🌸韦兰德-尤坦尼集团🌸,韦兰德-尤坦尼集团
Teractor (breakthrough),811,187,79.48581997533908,2068.0,811,2.5493300852618757,23.06,Teractor (breakthrough),Teractor (breakthrough)
Vitor,801,250,83.60174781523096,1905.0,801,2.379778051787916,31.21,Vitor,Vitor
Ringcom,765,241,85.3437908496732,1712.0,765,2.241290322580645,31.5,Ringcom,Ringcom
🌸Integrated Microorganisms🌸,743,208,79.42395693135936,1788.0,743,2.407702523240372,27.99,🌸微生物星尘🌸,微生物星尘
雩喵科学探测器,724,158,77.99447513812154,1915.0,724,2.6430517711171664,21.82,雩喵科学探测器,雩喵科学探测器
Pobolog (breakthrough),714,194,79.74369747899159,1746.0,714,2.446132596685083,27.17,Pobolog (breakthrough),Pobolog (breakthrough)
Splice (breakthrough),702,215,81.92307692307692,1590.0,702,2.268258426966292,30.63,Splice (breakthrough),Splice (breakthrough)
🌸Shinra Tech🌸,694,152,78.93515850144092,1735.0,694,2.5,21.9,🌸樱花电🌸,樱花电
🌸EliteTech🌸,685,171,77.25255474452555,1751.0,685,2.5553956834532374,24.96,🌸精英回馈🌸,精英回馈
🌸Scolex Industries🌸,658,175,78.29939209726444,1605.0,658,2.440119760479042,26.6,🌸星核工业🌸,星核工业
🌸Mining Corp🌸,625,143,77.496,1600.0,625,2.559055118110236,22.88,🌸钢铁精炼🌸,钢铁精炼
🌸Ark Nova🌸,588,140,79.3656462585034,1520.0,588,2.5836120401337794,23.81,🌸方舟动物园🌸,方舟动物园
Spire,572,175,79.4020979020979,1360.0,572,2.379725085910653,30.59,Spire,Spire
Viron (breakthrough),535,135,79.97009345794393,1354.0,535,2.530275229357798,25.23,Viron (breakthrough),Viron (breakthrough)
🌸SolarPlant🌸,532,145,75.60338345864662,1265.0,532,2.3800738007380073,27.26,🌸太阳能公司🌸,太阳能公司
MorningStar Inc (breakthrough),528,191,90.69128787878788,1142.0,528,2.1691449814126393,36.17,MorningStar Inc (breakthrough),MorningStar Inc (breakthrough)
Prism,527,130,82.7438330170778,1401.0,527,2.655493482309125,24.67,棱镜光谱研究室,棱镜光谱研究室
Poseidon,518,109,77.996138996139,1367.0,518,2.6363636363636362,21.04,Poseidon,Poseidon
Midas,516,130,65.04263565891473,1360.0,516,2.6330798479087454,25.19,Midas,Midas
🌸StarlinkDrifter🌸,515,110,78.19029126213593,1390.0,515,2.6952380952380954,21.36,🌸星链漂流者🌸,星链漂流者
🌸Prowler🌸,484,142,77.94834710743801,1103.0,484,2.283400809716599,29.34,🌸徘徊者🌸,徘徊者
🌸Tyrell🌸,465,97,77.90322580645162,1207.0,465,2.5936842105263156,20.86,🌸泰瑞尔公司🌸,泰瑞尔公司
Polaris,426,110,71.43427230046949,1023.0,426,2.403669724770642,25.82,北极星,北极星
Manutech,423,113,79.40898345153664,1075.0,423,2.540415704387991,26.71,Manutech,Manutech
StormCraft Incorporated (breakthrough),421,100,80.84560570071258,1043.0,421,2.4779582366589326,23.75,StormCraft Incorporated (breakthrough),StormCraft Incorporated (breakthrough)
United Nations Mission One,399,120,69.38847117794487,899.0,399,2.259168704156479,30.08,United Nations Mission One,United Nations Mission One
🌸Energy Saving Ecology🌸,395,119,73.8379746835443,913.0,395,2.3160493827160495,30.13,🌸节能生态🌸,节能生态
Arcadian Communities (breakthrough),390,122,77.81538461538462,881.0,390,2.265,31.28,Arcadian Communities (breakthrough),Arcadian Communities (breakthrough)
CrediCor,385,85,62.32207792207792,942.0,385,2.448101265822785,22.08,CrediCor,CrediCor
🌸Green Ring🌸,375,88,76.49066666666667,986.0,375,2.625974025974026,23.47,🌸绿环🌸,绿环
Ambient,368,100,77.42663043478261,863.0,368,2.3492063492063493,27.17,,
🌸RDA🌸,364,109,75.28846153846153,831.0,364,2.2887700534759357,29.95,🌸RDA🌸,RDA
Terralabs Research (breakthrough),354,76,77.62429378531074,958.0,354,2.7005494505494507,21.47,Terralabs Research (breakthrough),Terralabs Research (breakthrough)
Lakefront Resorts,353,75,72.45325779036827,873.0,353,2.4738292011019283,21.25,湖畔度假区,湖畔度假区
Inventrix (breakthrough),345,63,75.60579710144927,944.0,345,2.7295774647887323,18.26,Inventrix (breakthrough),Inventrix (breakthrough)
Ecoline (breakthrough),344,110,77.34593023255815,737.0,344,2.152542372881356,31.98,Ecoline (breakthrough),Ecoline (breakthrough)
EcoTec,335,89,75.27761194029851,780.0,335,2.3333333333333335,26.57,EcoTec,EcoTec
🌸Protogen🌸,322,86,76.2639751552795,745.0,322,2.319277108433735,26.71,🌸微生物热舞🌸,微生物热舞
🌸Green Leaf Dance🌸,308,107,77.76298701298701,644.0,308,2.1037735849056602,34.74,🌸绿叶舞动🌸,绿叶舞动
