corporation,players,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,avg_generations,weighted_avg_score,win_rate,cn_name,cn_name_plot
Aurorai,2,28,22,1.2142857142857142,116.67857142857143,34.0,28,8.071428571428571,1.2894736842105263,78.57,Aurorai,Aurorai
Earth Cat Cult,2,13,11,1.1538461538461537,132.46153846153845,15.0,13,8.615384615384615,1.3043478260869565,84.62,Earth Cat Cult,Earth Cat Cult
Aeron Genomics,2,4,4,1.0,180.25,4.0,4,11.5,1.3571428571428572,100.0,艾隆基因组学,艾隆基因组学
Hecate Speditions,2,15,11,1.2666666666666666,200.66666666666666,19.0,15,9.2,1.36,73.33,赫卡忒探险队,赫卡忒探险队
Aphrodite (breakthrough),2,89,58,1.348314606741573,130.1573033707865,120.0,89,9.280898876404494,1.3636363636363635,65.17,Aphrodite (breakthrough),Aphrodite (breakthrough)
Id Front,2,116,75,1.353448275862069,172.3706896551724,157.0,116,9.85344827586207,1.3650793650793651,64.66,前线基地,前线基地
Terralabs Research (breakthrough),2,52,34,1.3461538461538463,171.96153846153845,70.0,52,9.884615384615385,1.3709677419354838,65.38,Terralabs Research (breakthrough),Terralabs Research (breakthrough)
🌸Green Leaf Dance🌸,2,60,39,1.35,123.8,81.0,60,8.716666666666667,1.3714285714285714,65.0,🌸绿叶舞动🌸,绿叶舞动
🌸Shinra Tech🌸,2,141,89,1.3687943262411348,149.17730496453902,193.0,141,9.148936170212766,1.3774834437086092,63.12,🌸樱花电🌸,樱花电
Chaos,2,80,51,1.3625,158.85,109.0,80,9.6625,1.3777777777777778,63.75,Chaos,Chaos
Labour Union,2,19,13,1.3157894736842106,90.89473684210526,25.0,19,7.7368421052631575,1.3793103448275863,68.42,Labour Union,Labour Union
Manutech,2,128,80,1.375,168.078125,176.0,128,9.78125,1.3840579710144927,62.5,Manutech,Manutech
Arcadian Communities (breakthrough),2,29,19,1.3448275862068966,129.17241379310346,39.0,29,9.655172413793103,1.3846153846153846,65.52,Arcadian Communities (breakthrough),Arcadian Communities (breakthrough)
Imperial Star Destroyer,2,91,57,1.3736263736263736,162.0,125.0,91,9.87912087912088,1.386138613861386,62.64,帝国歼星舰,帝国歼星舰
Prism,2,126,78,1.380952380952381,190.44444444444446,174.0,126,9.761904761904763,1.3897058823529411,61.9,棱镜光谱研究室,棱镜光谱研究室
CrediCor,2,59,37,1.3728813559322033,127.8135593220339,81.0,59,9.40677966101695,1.391304347826087,62.71,CrediCor,CrediCor
🌸Integrated Microorganisms🌸,2,121,74,1.3884297520661157,161.29752066115702,168.0,121,9.578512396694215,1.3969465648854962,61.16,🌸微生物星尘🌸,微生物星尘
EcoTec,2,70,43,1.3857142857142857,124.71428571428571,97.0,70,9.3,1.4,61.43,EcoTec,EcoTec
Luna Trade Federation,2,5,4,1.2,164.8,6.0,5,11.2,1.4,80.0,月球贸易联盟,月球贸易联盟
🌸Protogen🌸,2,60,37,1.3833333333333333,130.35,83.0,60,8.783333333333333,1.4,61.67,🌸微生物热舞🌸,微生物热舞
Vitor,2,162,98,1.3950617283950617,157.58641975308643,226.0,162,9.61111111111111,1.4011627906976745,60.49,Vitor,Vitor
Spire,2,105,63,1.4,162.6952380952381,147.0,105,9.495238095238095,1.4086956521739131,60.0,Spire,Spire
Nirgal Enterprises,2,19,12,1.368421052631579,135.10526315789474,26.0,19,9.894736842105264,1.4137931034482758,63.16,Nirgal Enterprises,Nirgal Enterprises
Mind Set Mars,2,2,2,1.0,203.5,2.0,2,9.0,1.4166666666666667,100.0,Mind Set Mars,Mind Set Mars
🌸SolarPlant🌸,2,114,67,1.412280701754386,140.46491228070175,161.0,114,8.87719298245614,1.4193548387096775,58.77,🌸太阳能公司🌸,太阳能公司
Point Luna,2,190,111,1.4157894736842105,191.65263157894736,269.0,190,10.063157894736841,1.42,58.42,Point Luna,Point Luna
Junk Ventures,2,56,33,1.4107142857142858,166.66071428571428,79.0,56,9.946428571428571,1.4242424242424243,58.93,Junk Ventures,Junk Ventures
Midas,2,23,14,1.391304347826087,141.2608695652174,32.0,23,9.391304347826088,1.4242424242424243,60.87,Midas,Midas
Millennium Falcon,2,63,37,1.4126984126984128,150.44444444444446,89.0,63,9.793650793650794,1.4246575342465753,58.73,千年隼,千年隼
🌸Ark Nova🌸,2,103,60,1.4174757281553398,191.55339805825244,146.0,103,9.563106796116505,1.424778761061947,58.25,🌸方舟动物园🌸,方舟动物园
Eglogue,2,11,7,1.3636363636363635,117.72727272727273,15.0,11,8.818181818181818,1.4285714285714286,63.64,Eglogue,Eglogue
Septem Tribus,2,18,11,1.3888888888888888,150.16666666666666,25.0,18,9.5,1.4285714285714286,61.11,Septem Tribus,Septem Tribus
Tharsis_republic (breakthrough),2,81,47,1.4197530864197532,130.02469135802468,115.0,81,9.777777777777779,1.4285714285714286,58.02,Tharsis_republic (breakthrough),Tharsis_republic (breakthrough)
🌸EliteTech🌸,2,53,31,1.4150943396226414,145.96226415094338,75.0,53,8.981132075471699,1.4285714285714286,58.49,🌸精英回馈🌸,精英回馈
🌸双轨跃迁🌸,2,50,29,1.42,175.6,71.0,50,9.82,1.4333333333333333,58.0,🌸双轨跃迁🌸,双轨跃迁
Incite Ender,2,13,8,1.3846153846153846,198.6153846153846,18.0,13,8.923076923076923,1.434782608695652,61.54,Incite Ender,Incite Ender
UNMI (breakthrough),2,102,58,1.4313725490196079,126.38235294117646,146.0,102,9.362745098039216,1.4375,56.86,UNMI (breakthrough),UNMI (breakthrough)
🌸PoliticalReform🌸,2,6,4,1.3333333333333333,136.83333333333334,8.0,6,8.666666666666666,1.4375,66.67,🌸制度改革🌸,制度改革
Interplanetary Cinematics (breakthrough),2,168,95,1.4345238095238095,135.58333333333334,241.0,168,9.755952380952381,1.4382022471910112,56.55,Interplanetary Cinematics (breakthrough),Interplanetary Cinematics (breakthrough)
🌸Buy N Large🌸,2,31,18,1.4193548387096775,104.03225806451613,44.0,31,8.580645161290322,1.4390243902439024,58.06,🌸大巨购🌸,大巨购
Curiosity II,2,56,32,1.4285714285714286,165.41071428571428,80.0,56,9.910714285714286,1.4393939393939394,57.14,Curiosity II,Curiosity II
Soylent Seedling Systems,2,24,14,1.4166666666666667,102.58333333333333,34.0,24,8.583333333333334,1.4411764705882353,58.33,索伦特幼苗系统,索伦特幼苗系统
Athena,2,8,5,1.375,245.5,11.0,8,10.25,1.4444444444444444,62.5,Athena,Athena
Brotherhood of Mutants,2,17,10,1.411764705882353,192.11764705882354,24.0,17,9.941176470588236,1.4444444444444444,58.82,变种人兄弟会,变种人兄弟会
MorningStar Inc (breakthrough),2,180,100,1.4444444444444444,147.03333333333333,260.0,180,9.688888888888888,1.4473684210526316,55.56,MorningStar Inc (breakthrough),MorningStar Inc (breakthrough)
Kingdom of Tauraro,2,10,6,1.4,133.5,14.0,10,9.0,1.45,60.0,陶拉罗王国,陶拉罗王国
Void,2,21,12,1.4285714285714286,139.04761904761904,30.0,21,9.523809523809524,1.4516129032258065,57.14,Void,Void
Teractor (breakthrough),2,156,86,1.4487179487179487,154.06410256410257,226.0,156,9.871794871794872,1.4518072289156627,55.13,Teractor (breakthrough),Teractor (breakthrough)
Aridor,2,105,58,1.4476190476190476,160.8095238095238,152.0,105,9.904761904761905,1.4521739130434783,55.24,Aridor,Aridor
Poseidon,2,98,54,1.4489795918367347,145.72448979591837,142.0,98,9.989795918367347,1.4537037037037037,55.1,Poseidon,Poseidon
Anubis Securities,2,1,1,1.0,191.0,1.0,1,13.0,1.4545454545454546,100.0,阿努比斯证券,阿努比斯证券
Demetron Labs,2,1,1,1.0,103.0,1.0,1,9.0,1.4545454545454546,100.0,德米特伦实验室,德米特伦实验室
Habitat Marte,2,12,7,1.4166666666666667,163.41666666666666,17.0,12,11.083333333333334,1.4545454545454546,58.33,火星栖息地,火星栖息地
Polaris,2,34,19,1.4411764705882353,106.17647058823529,49.0,34,8.264705882352942,1.4545454545454546,55.88,北极星,北极星
Pristar (breakthrough),2,12,7,1.4166666666666667,144.08333333333334,17.0,12,10.25,1.4545454545454546,58.33,Pristar (breakthrough),Pristar (breakthrough)
