rank,player_name,matched_user,match_type,occurrences
1,qinchen1027,qinchen1027,exact,1065
2,carl01,carl01,exact,571
3,mio,mio,exact,521
4,ALON,alon,case_insensitive,432
5,玩火星,玩火星,exact,431
6,愿仔wish,愿仔wish,exact,427
7,番薯企鹅,番薯企鹅,exact,413
8,屈先生,屈先生,exact,395
9,ikun,ikun,exact,382
10,bosir,bosir,exact,353
11,木星大哥被对面抓走啦,木星大哥被对面抓走啦,exact,341
12,comboo,comboo,exact,297
13,万物,万物,exact,296
14,沐雨橙风,沐雨橙风,exact,283
15,tmr,tmr,exact,271
16,雪櫻,雪櫻,exact,263
17,书记,书记,exact,257
18,woowoo,woowoo,exact,255
19,kanna,kanna,exact,255
20,ALOON,aloon,case_insensitive,249
21,无梦,无梦,exact,245
22,YZ,yz,case_insensitive,241
23,老谭,老谭,exact,238
24,居居雩,居居雩,exact,219
25,清源妙道,清源妙道,exact,213
26,aloon,aloon,exact,205
27,hero,hero,exact,186
28,raaaay,raaaay,exact,180
29,流星小傻瓜,流星小傻瓜,exact,169
30,多啦a梦,多啦a梦,exact,160
31,云尘,云尘,exact,159
32,奥斯卡,奥斯卡,exact,158
33,老王,老王,exact,155
34,carl,carl,exact,155
35,猫和老鼠,猫和老鼠,exact,155
36,空条承太郎,空条承太郎,exact,152
37,月姬,月姬,exact,144
38,ashland,ashland,exact,141
39,ki,ki,exact,134
40,aipotu,aipotu,exact,133
41,露肩靓仔,露肩靓仔,exact,130
42,带恶人6324,带恶人6324,exact,129
43,Misaki,Misaki,exact,128
44,茄努力,茄努力,exact,127
45,水鬼,水鬼,exact,126
46,miio,miio,exact,125
47,眼镜胡地,眼镜胡地,exact,125
48,洛潇,洛潇,exact,124
49,零食愿仔,零食愿仔,exact,124
50,66大人,66大人,exact,123
51,钝钝,钝钝,exact,123
52,index,index,exact,121
53,meow328,meow328,exact,119
54,jjc,jjc,exact,119
55,bsylh,bsylh,exact,118
56,moon,moon,exact,117
57,挂b,挂b,exact,116
58,吴用之人,吴用之人,exact,115
59,桌游米,桌游米,exact,115
60,742856151,742856151,exact,113
61,zhu791229,zhu791229,exact,110
62,半月2,半月2,exact,105
63,xiang.fan,xiang.fan,exact,104
64,fenglin_18,fenglin_18,exact,103
65,ST IZEM,st izem,case_insensitive,102
66,yangswag,yangswag,exact,101
67,抽牌=抽自己,抽牌=抽自己,exact,100
68,μ!,μ!,exact,100
