rank,player_name,occurrences
1,绿色,1062
2,红色,1038
3,黄色,433
4,1,379
5,2,332
6,王振华,238
7,蓝色,228
8,Pink,195
9,紫色,128
10,明年,126
11,·牢大,114
12,DW,112
13,LW,108
14,刘,107
15,全,102
16,伟,97
17,张,91
18,李,91
19,晨,89
20,乐乐哥,88
21,乐,86
22,文杰,83
23,~木,82
24,黑色,72
25,孙,71
26,雞神,70
27,wyg,70
28,bhb,68
29,妹妹,65
30,~xia,64
31,樟狼,62
32,t,61
33,延斐,60
34,舒神,60
35,~ybb,58
36,jwt,58
37,GJ,56
38,大春,55
39,一帆,50
40,托,50
41,大悲,49
42,熊神,49
43,~请坐,49
44,Sdg,48
45,秋水抚墨,47
46,~htt,47
47,杨,47
48,梅梅,44
49,幻影联盟男人,44
50,王,43
51,飞,43
52,爛爛樟,42
53,村长,41
54,·5k1,39
55,J,39
56,曹,38
57,雞,37
58,你猜,37
59,熊猫仔,37
60,阿,36
61,·芜湖,36
62,Fat,36
63,星絮,36
64,康博,36
65,Cy,36
66,调和菜菜,35
67,屌屌默,35
68,·兔鱼,35
69,默神,35
70,3,33
71,ljt,32
72,Dbg,31
73,cy,31
74,断罪之枪,31
75,昊阳,30
76,琉璃,30
77,Q,30
78,S,30
79,`牢大,29
80,cett,28
81,l,28
82,啾啾,28
83,222✌,27
84,L,27
85,塔,27
86,棒棒雞,27
87,fat,27
88,阿酉,26
89,lyq,26
90,111✌,26
91,曹神,26
92,博,25
93,SDG,25
94,胡,25
95,sdg,25
96,安義,25
97,團長,25
98,·b猫,25
99,·铃铛,25
100,wyboar,25
101,请坐～,25
102,带恶人,24
103,妹抖,24
104,悲,24
105,wsj,24
106,dbg,24
107,向嘟嘟,24
108,mmmmbk,24
109,何,23
110,全神,23
111,蒋,23
112,🦆,23
113,慕奇,23
114,夜色,23
115,梁,23
116,chai,22
117,莉莉娅,22
118,月,22
119,zsb,22
120,·5637,22
121,兰,22
122,默,22
123,可汗近卫,22
124,🐔,22
125,三,22
126,谭火桑,22
127,猴猴,22
128,60,22
129,侯桑,21
130,蕊青✌,21
131,雞雞,21
132,·吃宝,21
133,群主,21
134,延长战线,21
135,郜,20
136,海蛞蝓,20
137,`芜湖,20
138,杰,20
139,FNF,20
140,~花,20
141,zao,20
142,wsc,20
143,落鹰,20
144,马,20
145,wdjc,19
146,小戴,19
147,齐,19
148,~xhh,19
149,gagagagaga,19
150,盖,19
151,~c,19
152,妹妹✌,19
153,🕊️🕊️🕊️,18
154,bqn,18
155,~ymm,18
156,请坐⊙▽⊙,18
157,~ikun,18
158,老登,18
159,DBG,18
160,zaozao,17
161,鹅子,17
162,白,17
163,城南派出所,17
164,~xll,17
165,兰舟,17
166,安璃,17
167,唐天✌,17
168,~币,17
169,唐天✌️,17
170,色样,17
171,瓜,17
172,b,17
