milestone_name,claim_count,wins,avg_position,position_sum,win_rate,weighted_avg_position,cn_name,cn_name_plot
Networker,308,143,1.8863636363636365,581.0,46.43,1.9408284023668638,网络大亨,网络大亨
Tactician,556,216,2.0071942446043165,1116.0,38.85,2.032423208191126,战术家,战术家
Tycoon,258,116,1.9844961240310077,512.0,44.96,2.0381944444444446,专案大亨,专案大亨
Forester,139,62,1.9568345323741008,272.0,44.6,2.0532544378698225,农民,农民
Terraformer,531,199,2.0376647834274952,1082.0,37.48,2.0623885918003566,改造先锋,改造先锋
Terra Pioneer,239,85,2.0209205020920504,483.0,35.56,2.074349442379182,改造先驱,改造先驱
Irrigator,240,98,2.0458333333333334,491.0,40.83,2.096296296296296,灌溉者,灌溉者
Tropicalist,330,119,2.0606060606060606,680.0,36.06,2.0972222222222223,热带主义者,热带主义者
Gardener,375,138,2.0773333333333333,779.0,36.8,2.108641975308642,园丁,园丁
Legend,400,150,2.09,836.0,37.5,2.1186046511627907,传奇人物,传奇人物
Land Specialist,119,47,2.0252100840336134,241.0,39.5,2.120805369127517,土地专家,土地专家
Polar Explorer,245,84,2.0775510204081633,509.0,34.29,2.1236363636363635,极地探险家,极地探险家
Ecologist,573,202,2.1239092495636998,1217.0,35.25,2.142620232172471,生态专家,生态专家
Firestarter,154,53,2.0974025974025974,323.0,34.42,2.1630434782608696,引火者,引火者
Farmer,106,41,2.0943396226415096,222.0,38.68,2.1838235294117645,农夫,农夫
Tradesman,267,96,2.153558052434457,575.0,35.96,2.1885521885521886,贸易天才,贸易天才
Economizer,203,69,2.147783251231527,436.0,33.99,2.1931330472103006,节能专家,节能专家
T. Collector,411,148,2.1776155717761556,895.0,36.01,2.199546485260771,收藏家,收藏家
Builder,226,79,2.185840707964602,494.0,34.96,2.22265625,建设先驱,建设先驱
Hoverlord,568,189,2.2183098591549295,1260.0,33.27,2.2324414715719065,天空霸主,天空霸主
Terran,140,52,2.1785714285714284,305.0,37.14,2.235294117647059,地球居民,地球居民
Martian,113,44,2.168141592920354,245.0,38.94,2.237762237762238,火星人,火星人
Gambler,33,9,2.0303030303030303,67.0,27.27,2.253968253968254,赌徒,赌徒
Mayor,229,73,2.2314410480349345,511.0,31.88,2.2625482625482625,市长,市长
Spacefarer,162,57,2.234567901234568,362.0,35.19,2.2760416666666665,太空航行者,太空航行者
Minimalist,246,75,2.268292682926829,558.0,30.49,2.2934782608695654,极简主义者,极简主义者
Specialist,679,204,2.287187039764359,1553.0,30.04,2.296191819464034,专业人士,专业人士
Diversifier,831,243,2.305655836341757,1916.0,29.24,2.3124274099883855,多元化经营者,多元化经营者
Generalist,308,88,2.2987012987012987,708.0,28.57,2.3165680473372783,泛用人才,泛用人才
Capitalist,278,87,2.302158273381295,640.0,31.29,2.3214285714285716,资本家,资本家
Rim Settler,532,163,2.31203007518797,1230.0,30.64,2.3220640569395017,木星定居者,木星定居者
Pioneer,221,62,2.2986425339366514,508.0,28.05,2.3227091633466137,先驱者,先驱者
Planner,667,213,2.3223388305847075,1549.0,31.93,2.3299856527977045,运筹帷幄,运筹帷幄
Smith,136,37,2.3088235294117645,314.0,27.21,2.3433734939759034,铁匠,铁匠
V. Electrician,296,91,2.3344594594594597,691.0,30.74,2.3496932515337425,电气技师,电气技师
Businessperson,146,50,2.3219178082191783,339.0,34.25,2.352272727272727,Businessperson,Businessperson
Energizer,408,118,2.3504901960784315,959.0,28.92,2.3607305936073057,发电专家,发电专家
V. Spacefarer,442,119,2.4457013574660635,1081.0,26.92,2.4491525423728815,太空旅行者,太空旅行者
Colonizer,80,23,2.45,196.0,28.75,2.463636363636364,殖民者,殖民者
