prelude_name,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,cn_name,cn_name_plot
Merger,214,145,1.3224299065420562,176.30373831775702,283.0,214,1.3442622950819672,67.76,企业合并,企业合并
Terraforming Deal,132,87,1.3409090909090908,142.33333333333334,177.0,132,1.3703703703703705,65.91,地球化交易,地球化交易
Nitrate Reducers,75,50,1.3333333333333333,161.24,100.0,75,1.380952380952381,66.67,硝酸盐还原剂,硝酸盐还原剂
Research Grant,33,23,1.303030303030303,218.57575757575756,43.0,33,1.3968253968253967,69.7,研发资助,研发资助
Huge Asteroid,43,28,1.3488372093023255,124.83720930232558,58.0,43,1.4109589041095891,65.12,巨型小行星,巨型小行星
Soil Bacteria,140,83,1.4071428571428573,144.5,197.0,140,1.423529411764706,59.29,土壤细菌,土壤细菌
Project Eden,109,65,1.4036697247706422,144.2018348623853,153.0,109,1.4244604316546763,59.63,伊甸园计划,伊甸园计划
Suitable Infrastructure,150,87,1.42,158.47333333333333,213.0,150,1.4333333333333333,58.0,适宜基础设施,适宜基础设施
Aquifer Turbines,124,72,1.4193548387096775,147.94354838709677,176.0,124,1.4350649350649352,58.06,含水层涡轮机,含水层涡轮机
WG Partnership,44,26,1.4090909090909092,145.3409090909091,62.0,44,1.445945945945946,59.09,世界政府小伙伴,世界政府小伙伴
Power Generation,155,87,1.4387096774193548,155.7741935483871,223.0,155,1.4486486486486487,56.13,发电,发电
Experimental Forest,101,57,1.4356435643564356,130.1881188118812,145.0,101,1.450381679389313,56.44,实验林场,实验林场
Venus Contract,83,47,1.4337349397590362,152.97590361445782,119.0,83,1.4513274336283186,56.63,金星合同,金星合同
Double Down,200,111,1.445,161.655,289.0,200,1.4521739130434783,55.5,双倍下注,双倍下注
Supply Drop,104,58,1.4423076923076923,140.20192307692307,150.0,104,1.455223880597015,55.77,空投补给,空投补给
Loan,119,66,1.4453781512605042,146.52100840336135,172.0,119,1.4563758389261745,55.46,贷款,贷款
SF Memorial,657,356,1.4581430745814308,180.30745814307457,958.0,657,1.4599708879184863,54.19,SF纪念碑,SF纪念碑
UNMI Contractor,156,85,1.455128205128205,148.42307692307693,227.0,156,1.4623655913978495,54.49,UNMI 承包商,UNMI 承包商
Acquired Space Agency,155,84,1.4580645161290322,143.23870967741937,226.0,155,1.4648648648648648,54.19,收购太空总署,收购太空总署
New Partner,228,122,1.4649122807017543,148.31140350877192,334.0,228,1.4689922480620154,53.51,新合伙人,新合伙人
Mining Operations,127,68,1.4645669291338583,152.55905511811022,186.0,127,1.4713375796178343,53.54,采矿作业,采矿作业
Early Colonization,102,54,1.4705882352941178,157.7450980392157,150.0,102,1.4772727272727273,52.94,早期殖民,早期殖民
Business Empire,143,73,1.4895104895104896,149.5034965034965,213.0,143,1.4913294797687862,51.05,商业帝国,商业帝国
World Government Advisor,87,44,1.4942528735632183,113.02298850574712,130.0,87,1.4957264957264957,50.57,世界政府顾问,世界政府顾问
Early Settlement,78,38,1.5128205128205128,115.0,118.0,78,1.5092592592592593,48.72,前期据点,前期据点
Research Network,184,90,1.5108695652173914,145.0054347826087,278.0,184,1.5093457943925233,48.91,研究网络,研究网络
Orbital Construction Yard,154,75,1.5129870129870129,154.84415584415584,233.0,154,1.5108695652173914,48.7,轨道建造场,轨道建造场
Biofuels,36,17,1.5277777777777777,122.11111111111111,55.0,36,1.5151515151515151,47.22,生物燃料,生物燃料
Space Lanes,212,102,1.5188679245283019,154.1556603773585,322.0,212,1.5165289256198347,48.11,太空航道,太空航道
Metal-Rich Asteroid,89,42,1.5280898876404494,137.23595505617976,136.0,89,1.5210084033613445,47.19,富含金属的小行星,富含金属的小行星
Donation,112,53,1.5267857142857142,141.26785714285714,171.0,112,1.5211267605633803,47.32,捐赠,捐赠
Io Research Outpost,152,72,1.5263157894736843,150.04605263157896,232.0,152,1.521978021978022,47.37,木卫一研究前哨,木卫一研究前哨
Martian Industries,95,43,1.5473684210526315,150.93684210526317,147.0,95,1.536,45.26,火星工业,火星工业
Allied Bank,169,77,1.544378698224852,155.57396449704143,261.0,169,1.5376884422110553,45.56,联合银行,联合银行
Galilean Mining,116,52,1.5517241379310345,148.38793103448276,180.0,116,1.5410958904109588,44.83,伽利略矿业,伽利略矿业
Smelting Plant,43,18,1.5813953488372092,113.51162790697674,68.0,43,1.547945205479452,41.86,冶炼厂,冶炼厂
Self-Sufficient Settlement,106,45,1.5754716981132075,131.58490566037736,167.0,106,1.5588235294117647,42.45,自给自足的据点,自给自足的据点
Supplier,131,55,1.5801526717557253,136.86259541984734,207.0,131,1.565217391304348,41.98,供应商,供应商
Ecology Experts,39,11,1.7179487179487178,114.1025641025641,67.0,39,1.6231884057971016,28.21,生态学专家,生态学专家
