prelude_name,uses_2p,total_weighted_x,count_weighted_x,weighted_avg_score_x,weighted_2p,uses_4p,total_weighted_y,count_weighted_y,weighted_avg_score_y,weighted_4p,cn_name,cn_name_plot,wr_diff_2p,wr_diff_4p,total_diff
Accumulated Knowledge,120,186.0,120,1.5461538461538462,1.55,239,640.0,239,2.6706827309236947,2.67,积累知识,积累知识,-48.45,-22.33,-70.78
Acquired Space Agency,155,226.0,155,1.4606060606060607,1.46,1116,2698.0,1116,2.4182948490230904,2.42,收购太空总署,收购太空总署,-48.54,-22.58,-71.12
Aerospace Mission,59,84.0,59,1.434782608695652,1.43,231,602.0,231,2.6016597510373445,2.6,航天任务,航天任务,-48.57,-22.4,-70.97
Allied Bank,169,261.0,169,1.541899441340782,1.54,461,1297.0,461,2.8067940552016983,2.81,联合银行,联合银行,-48.46,-22.19,-70.65
Anti-desertification Techniques,49,66.0,49,1.3728813559322033,1.37,94,229.0,94,2.4423076923076925,2.44,抗沙漠化科技,抗沙漠化科技,-48.63,-22.56,-71.19
Applied Science,40,61.0,40,1.52,1.52,176,464.0,176,2.629032258064516,2.63,应用科学,应用科学,-48.48,-22.37,-70.85
Aquifer Turbines,124,176.0,124,1.4253731343283582,1.43,549,1361.0,549,2.479427549194991,2.48,含水层涡轮机,含水层涡轮机,-48.57,-22.52,-71.09
Atmospheric Enhancers,97,138.0,97,1.4299065420560748,1.43,767,1857.0,767,2.4221364221364223,2.42,大气增强器,大气增强器,-48.57,-22.58,-71.15
Battery Shipment,41,53.0,41,1.3333333333333333,1.33,447,1131.0,447,2.5295404814004376,2.53,电池运输,电池运输,-48.67,-22.47,-71.14
Biofuels,36,55.0,36,1.5217391304347827,1.52,32,88.0,32,2.6904761904761907,2.69,生物燃料,生物燃料,-48.48,-22.31,-70.78999999999999
Biolab,115,170.0,115,1.48,1.48,137,377.0,137,2.7346938775510203,2.73,生物实验室,生物实验室,-48.52,-22.27,-70.79
Biosphere Support,26,37.0,26,1.4444444444444444,1.44,31,78.0,31,2.5121951219512195,2.51,生物圈支援载体,生物圈支援载体,-48.56,-22.490000000000002,-71.05000000000001
Board of Directors,158,246.0,158,1.5535714285714286,1.55,892,2217.0,892,2.4855875831485585,2.49,董事会,董事会,-48.45,-22.509999999999998,-70.96000000000001
Business Empire,143,213.0,143,1.4901960784313726,1.49,163,433.0,163,2.647398843930636,2.65,商业帝国,商业帝国,-48.51,-22.35,-70.86
CO² Reducers,110,161.0,110,1.4666666666666666,1.47,801,1920.0,801,2.3982737361282367,2.4,CO₂减排器,CO₂减排器,-48.53,-22.6,-71.13
Cloud Vortex Outpost,24,38.0,24,1.5588235294117647,1.56,267,611.0,267,2.296028880866426,2.3,云涡前哨站,云涡前哨站,-48.44,-22.7,-71.14
Colony Trade Hub,50,74.0,50,1.4833333333333334,1.48,409,1071.0,409,2.615751789976134,2.62,殖民地贸易中心,殖民地贸易中心,-48.52,-22.38,-70.9
Corporate Archives,187,279.0,187,1.4923857868020305,1.49,556,1317.0,556,2.371024734982332,2.37,公司档案馆,公司档案馆,-48.51,-22.63,-71.14
Corridors of Power,37,56.0,37,1.5106382978723405,1.51,248,582.0,248,2.352713178294574,2.35,权力走廊,权力走廊,-48.49,-22.65,-71.14
Crew Training,65,91.0,65,1.4133333333333333,1.41,632,1600.0,632,2.5311526479750777,2.53,机组人员培训,机组人员培训,-48.59,-22.47,-71.06
Deep Space Operations,60,91.0,60,1.5142857142857142,1.51,312,810.0,312,2.593167701863354,2.59,深空操作,深空操作,-48.49,-22.41,-70.9
Design Company,71,111.0,71,1.5555555555555556,1.56,315,814.0,315,2.5815384615384613,2.58,公司设计,公司设计,-48.44,-22.42,-70.86
Dome Farming,30,44.0,30,1.475,1.48,30,81.0,30,2.65,2.65,圆顶农业,圆顶农业,-48.52,-22.35,-70.87
Donation,112,171.0,112,1.5245901639344261,1.52,1000,2602.0,1000,2.600990099009901,2.6,捐赠,捐赠,-48.48,-22.4,-70.88
Double Down,200,289.0,200,1.4476190476190476,1.45,1075,2804.0,1075,2.6073732718894007,2.61,双倍下注,双倍下注,-48.55,-22.39,-70.94
Early Colonization,102,150.0,102,1.4732142857142858,1.47,676,1661.0,676,2.457725947521866,2.46,早期殖民,早期殖民,-48.53,-22.54,-71.07
Early Settlement,78,118.0,78,1.5113636363636365,1.51,216,549.0,216,2.5398230088495577,2.54,前期据点,前期据点,-48.49,-22.46,-70.95
Eccentric Sponsor,72,114.0,72,1.5731707317073171,1.57,626,1569.0,626,2.506289308176101,2.51,奇特的赞助者,奇特的赞助者,-48.43,-22.490000000000002,-70.92
Ecology Experts,39,67.0,39,1.6734693877551021,1.67,65,172.0,65,2.6266666666666665,2.63,生态学专家,生态学专家,-48.33,-22.37,-70.7
Experimental Forest,101,145.0,101,1.4414414414414414,1.44,977,2250.0,977,2.3049645390070923,2.3,实验林场,实验林场,-48.56,-22.7,-71.26
Floating Trade Hub,91,128.0,91,1.4158415841584158,1.42,210,571.0,210,2.709090909090909,2.71,漂浮贸易站,漂浮贸易站,-48.58,-22.29,-70.87
