prelude_name,games_2p,weighted_2p,games_4p,weighted_4p,cn_name,cn_name_plot
Merger,214,1.3442622950819672,120,2.3533333333333335,企业合并,企业合并
Terraforming Deal,132,1.3703703703703705,288,2.393081761006289,地球化交易,地球化交易
Nitrate Reducers,75,1.380952380952381,180,2.4380952380952383,硝酸盐还原剂,硝酸盐还原剂
Research Grant,33,1.3968253968253967,34,2.390625,研发资助,研发资助
Huge Asteroid,43,1.4109589041095891,244,2.562043795620438,巨型小行星,巨型小行星
Soil Bacteria,140,1.423529411764706,354,2.2005208333333335,土壤细菌,土壤细菌
Project Eden,109,1.4244604316546763,377,2.1228501228501226,伊甸园计划,伊甸园计划
Suitable Infrastructure,150,1.4333333333333333,346,2.2367021276595747,适宜基础设施,适宜基础设施
Aquifer Turbines,124,1.4350649350649352,549,2.4801381692573403,含水层涡轮机,含水层涡轮机
WG Partnership,44,1.445945945945946,59,2.337078651685393,世界政府小伙伴,世界政府小伙伴
Power Generation,155,1.4486486486486487,370,2.715,发电,发电
Experimental Forest,101,1.450381679389313,977,2.3088381330685204,实验林场,实验林场
Venus Contract,83,1.4513274336283186,456,2.376543209876543,金星合同,金星合同
Double Down,200,1.4521739130434783,1075,2.6054298642533937,双倍下注,双倍下注
Supply Drop,104,1.455223880597015,1029,2.290840415486308,空投补给,空投补给
Loan,119,1.4563758389261745,1091,2.5343443354148083,贷款,贷款
SF Memorial,657,1.4599708879184863,1555,2.4037854889589907,SF纪念碑,SF纪念碑
UNMI Contractor,156,1.4623655913978495,719,2.507343124165554,UNMI 承包商,UNMI 承包商
Acquired Space Agency,155,1.4648648648648648,1116,2.419720767888307,收购太空总署,收购太空总署
New Partner,228,1.4689922480620154,1141,2.534585824081981,新合伙人,新合伙人
Mining Operations,127,1.4713375796178343,529,2.6028622540250446,采矿作业,采矿作业
Early Colonization,102,1.4772727272727273,676,2.4589235127478752,早期殖民,早期殖民
Business Empire,143,1.4913294797687862,163,2.6321243523316062,商业帝国,商业帝国
World Government Advisor,87,1.4957264957264957,331,2.293628808864266,世界政府顾问,世界政府顾问
Early Settlement,78,1.5092592592592593,216,2.5365853658536586,前期据点,前期据点
Research Network,184,1.5093457943925233,753,2.561941251596424,研究网络,研究网络
Orbital Construction Yard,154,1.5108695652173914,378,2.625,轨道建造场,轨道建造场
Biofuels,36,1.5151515151515151,32,2.629032258064516,生物燃料,生物燃料
Space Lanes,212,1.5165289256198347,379,2.444987775061125,太空航道,太空航道
Metal-Rich Asteroid,89,1.5210084033613445,906,2.4786324786324787,富含金属的小行星,富含金属的小行星
Donation,112,1.5211267605633803,1000,2.5990291262135923,捐赠,捐赠
Io Research Outpost,152,1.521978021978022,240,2.6666666666666665,木卫一研究前哨,木卫一研究前哨
Martian Industries,95,1.536,394,2.6202830188679247,火星工业,火星工业
Allied Bank,169,1.5376884422110553,461,2.794297352342159,联合银行,联合银行
Galilean Mining,116,1.5410958904109588,189,2.730593607305936,伽利略矿业,伽利略矿业
Smelting Plant,43,1.547945205479452,433,2.485961123110151,冶炼厂,冶炼厂
Self-Sufficient Settlement,106,1.5588235294117647,301,2.676737160120846,自给自足的据点,自给自足的据点
Supplier,131,1.565217391304348,584,2.592833876221498,供应商,供应商
Ecology Experts,39,1.6231884057971016,65,2.6,生态学专家,生态学专家
