prelude_name,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,cn_name,cn_name_plot
Merger,483,238,1.7722567287784678,130.37888198757764,856.0,483,1.8148148148148149,49.28,企业合并,企业合并
Project Eden,611,266,1.900163666121113,90.84124386252046,1161.0,611,1.9282371294851794,43.54,伊甸园计划,伊甸园计划
Suitable Infrastructure,602,258,1.9252491694352158,108.32558139534883,1159.0,602,1.9525316455696202,42.86,适宜基础设施,适宜基础设施
Soil Bacteria,586,260,1.9300341296928327,99.54436860068259,1131.0,586,1.9577922077922079,44.37,土壤细菌,土壤细菌
WG Partnership,125,60,1.864,107.4,233.0,125,1.9870967741935484,48.0,世界政府小伙伴,世界政府小伙伴
Research Grant,92,44,1.8695652173913044,138.94565217391303,172.0,92,2.0245901639344264,47.83,研发资助,研发资助
Terraforming Deal,504,198,2.0515873015873014,93.94047619047619,1034.0,504,2.0767790262172285,39.29,地球化交易,地球化交易
World Government Advisor,504,202,2.0575396825396823,83.6329365079365,1037.0,504,2.0823970037453186,40.08,世界政府顾问,世界政府顾问
Nitrate Reducers,309,126,2.0550161812297736,105.44660194174757,635.0,309,2.094395280235988,40.78,硝酸盐还原剂,硝酸盐还原剂
SF Memorial,2578,945,2.093871217998448,112.92319627618309,5398.0,2578,2.098542944785276,36.66,SF纪念碑,SF纪念碑
Space Lanes,723,247,2.0926694329183957,107.69017980636238,1513.0,723,2.1088977423638777,34.16,太空航道,太空航道
Society Support,50,19,1.92,108.2,96.0,50,2.1375,38.0,社会支援,社会支援
Biosphere Support,82,33,2.024390243902439,92.45121951219512,166.0,82,2.1517857142857144,40.24,生物圈支援载体,生物圈支援载体
Nitrogen Shipment,76,33,2.026315789473684,106.85526315789474,154.0,76,2.160377358490566,43.42,氮气运输,氮气运输
Mohole,81,19,2.037037037037037,86.07407407407408,165.0,81,2.1621621621621623,23.46,超深钻探,超深钻探
Business Empire,420,130,2.1523809523809523,108.2452380952381,904.0,420,2.1755555555555555,30.95,商业帝国,商业帝国
Supply Drop,1246,402,2.1869983948635636,86.73515248796147,2725.0,1246,2.19435736677116,32.26,空投补给,空投补给
Biofuels,104,31,2.1153846153846154,93.72115384615384,220.0,104,2.201492537313433,29.81,生物燃料,生物燃料
Venus Contract,614,227,2.1938110749185666,94.15472312703584,1347.0,614,2.2080745341614905,36.97,金星合同,金星合同
Experimental Forest,1193,396,2.201173512154233,82.28918692372172,2626.0,1193,2.2085036794766966,33.19,实验林场,实验林场
Io Research Outpost,500,156,2.21,104.042,1105.0,500,2.2264150943396226,31.2,木卫一研究前哨,木卫一研究前哨
Early Settlement,355,100,2.2422535211267607,87.89859154929577,796.0,355,2.2623376623376625,28.17,前期据点,前期据点
Orbital Construction Yard,668,200,2.2574850299401197,99.0943113772455,1508.0,668,2.267908309455587,29.94,轨道建造场,轨道建造场
Aquifer Turbines,795,249,2.2654088050314467,91.1811320754717,1801.0,795,2.273939393939394,31.32,含水层涡轮机,含水层涡轮机
UNMI Contractor,1025,322,2.281951219512195,93.34048780487805,2339.0,1025,2.2881516587677724,31.41,UNMI 承包商,UNMI 承包商
Acquired Space Agency,1433,443,2.2847173761339845,88.51430565247732,3274.0,1433,2.2891319207108682,30.91,收购太空总署,收购太空总署
Galilean Mining,401,107,2.27930174563591,101.47630922693267,914.0,401,2.2946635730858467,26.68,伽利略矿业,伽利略矿业
Power Generation,667,200,2.3013493253373314,100.30734632683658,1535.0,667,2.3098995695839313,29.99,发电,发电
Ecology Experts,150,32,2.2733333333333334,92.26666666666667,341.0,150,2.311111111111111,21.33,生态学专家,生态学专家
Early Colonization,867,254,2.314878892733564,91.50288350634371,2007.0,867,2.321070234113712,29.3,早期殖民,早期殖民
Research Network,1101,319,2.3306085376930064,92.95821980018165,2566.0,1101,2.335101679929266,28.97,研究网络,研究网络
New Partner,1534,478,2.3402868318122554,90.24445893089961,3590.0,1534,2.3433503836317136,31.16,新合伙人,新合伙人
Huge Asteroid,341,100,2.346041055718475,67.71847507331378,800.0,341,2.358490566037736,29.33,巨型小行星,巨型小行星
Mining Operations,750,207,2.3533333333333335,92.16666666666667,1765.0,750,2.358974358974359,27.6,采矿作业,采矿作业
Metal-Rich Asteroid,1109,320,2.3570784490532013,83.5238954012624,2614.0,1109,2.3608428446005267,28.85,富含金属的小行星,富含金属的小行星
Self-Sufficient Settlement,511,136,2.3679060665362037,88.68688845401174,1210.0,511,2.3752310536044363,26.61,自给自足的据点,自给自足的据点
Martian Industries,571,154,2.374781085814361,91.8353765323993,1356.0,571,2.3810316139767056,26.97,火星工业,火星工业
Smelting Plant,538,147,2.37546468401487,71.5092936802974,1278.0,538,2.382042253521127,27.32,冶炼厂,冶炼厂
Supplier,833,206,2.3781512605042017,88.46338535414165,1981.0,833,2.3823870220162227,24.73,供应商,供应商
Loan,1371,375,2.388037928519329,84.23121808898614,3274.0,1371,2.390435403283369,27.35,贷款,贷款
Allied Bank,784,213,2.391581632653061,96.39668367346938,1875.0,784,2.3955773955773956,27.17,联合银行,联合银行
Double Down,1440,390,2.4090277777777778,86.75069444444445,3469.0,1440,2.410884353741497,27.08,双倍下注,双倍下注
Donation,1246,308,2.466292134831461,83.04735152487962,3073.0,1246,2.4670846394984327,24.72,捐赠,捐赠
