prelude_name,total_uses,wins,avg_position,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,cn_name,cn_name_plot
Focused Organization,135,97,1.2814814814814814,179.16296296296295,173.0,135,1.3655172413793104,71.85,专注组织,专注组织
Merger,214,145,1.3224299065420562,176.30373831775702,283.0,214,1.375,67.76,企业合并,企业合并
Terraforming Deal,132,87,1.3409090909090908,142.33333333333334,177.0,132,1.4225352112676057,65.91,地球化交易,地球化交易
Nitrate Reducers,75,50,1.3333333333333333,161.24,100.0,75,1.4705882352941178,66.67,硝酸盐还原剂,硝酸盐还原剂
Soil Bacteria,140,83,1.4071428571428573,144.5,197.0,140,1.48,59.29,土壤细菌,土壤细菌
Suitable Infrastructure,150,87,1.42,158.47333333333333,213.0,150,1.4875,58.0,适宜基础设施,适宜基础设施
Planetary Alliance,188,106,1.4361702127659575,166.80851063829786,270.0,188,1.4898989898989898,56.38,行星联盟,行星联盟
Double Down,200,111,1.445,161.655,289.0,200,1.4952380952380953,55.5,双倍下注,双倍下注
Project Eden,109,65,1.4036697247706422,144.2018348623853,153.0,109,1.495798319327731,59.63,伊甸园计划,伊甸园计划
Aquifer Turbines,124,72,1.4193548387096775,147.94354838709677,176.0,124,1.5,58.06,含水层涡轮机,含水层涡轮机
Power Generation,155,87,1.4387096774193548,155.7741935483871,223.0,155,1.503030303030303,56.13,发电,发电
Floating Trade Hub,91,54,1.4065934065934067,154.26373626373626,128.0,91,1.5148514851485149,59.34,漂浮贸易站,漂浮贸易站
Nobel Prize,149,82,1.4496644295302012,153.80536912751677,216.0,149,1.5157232704402517,55.03,诺贝尔奖,诺贝尔奖
UNMI Contractor,156,85,1.455128205128205,148.42307692307693,227.0,156,1.5180722891566265,54.49,UNMI 承包商,UNMI 承包商
Acquired Space Agency,155,84,1.4580645161290322,143.23870967741937,226.0,155,1.5212121212121212,54.19,收购太空总署,收购太空总署
Vital Colony,107,61,1.4299065420560748,153.65420560747663,153.0,107,1.5213675213675213,57.01,重点殖民地,重点殖民地
Atmospheric Enhancers,97,56,1.422680412371134,158.88659793814432,138.0,97,1.5233644859813085,57.73,大气增强器,大气增强器
Loan,119,66,1.4453781512605042,146.52100840336135,172.0,119,1.5271317829457365,55.46,贷款,贷款
Battery Shipment,41,29,1.2926829268292683,148.3658536585366,53.0,41,1.5294117647058822,70.73,电池运输,电池运输
Experimental Forest,101,57,1.4356435643564356,130.1881188118812,145.0,101,1.5315315315315314,56.44,实验林场,实验林场
Supply Drop,104,58,1.4423076923076923,140.20192307692307,150.0,104,1.5350877192982457,55.77,空投补给,空投补给
Mining Operations,127,68,1.4645669291338583,152.55905511811022,186.0,127,1.5401459854014599,53.54,采矿作业,采矿作业
Anti-desertification Techniques,49,32,1.346938775510204,131.3265306122449,66.0,49,1.5423728813559323,65.31,抗沙漠化科技,抗沙漠化科技
Corporate Archives,187,95,1.4919786096256684,149.00534759358288,279.0,187,1.5431472081218274,50.8,公司档案馆,公司档案馆
Crew Training,65,39,1.4,156.0,91.0,65,1.5466666666666666,60.0,机组人员培训,机组人员培训
Venus Contract,83,47,1.4337349397590362,152.97590361445782,119.0,83,1.5483870967741935,56.63,金星合同,金星合同
CO² Reducers,110,59,1.4636363636363636,145.42727272727274,161.0,110,1.55,53.64,CO₂减排器,CO₂减排器
Great Aquifer,77,44,1.4285714285714286,118.35064935064935,110.0,77,1.5517241379310345,57.14,大型含水层,大型含水层
Research Grant:Pathfinders,138,71,1.4855072463768115,161.97101449275362,205.0,138,1.554054054054054,51.45,研发资助：探路者,研发资助：探路者
Business Empire,143,73,1.4895104895104896,149.5034965034965,213.0,143,1.5555555555555556,51.05,商业帝国,商业帝国
