user_id,total_games,total_wins,total_position_sum,total_score_sum,total_generations_sum,total_tr_sum,total_cards_played_sum,tr_games,cards_games,avg_position,avg_score,avg_generations,avg_tr,avg_cards_played,min_score,max_score,min_position,win_rate,user_name
u5165be88bfe8,878,61,2870,57199,5010,24523.0,30467.0,875,875,3.269,65.15,5.71,28.03,34.82,20,156,1,6.95,qinchen1027
u6d6573b0a95a,444,148,950,37236,2466,15333.0,17701.0,444,444,2.14,83.86,5.55,34.53,39.87,28,176,1,33.33,carl01
uae379c6cf28a,417,65,1170,29483,2303,13472.0,12753.0,416,416,2.806,70.7,5.52,32.38,30.66,27,136,1,15.59,mio
u77a0648885c2,392,41,1147,28425,2282,13038.0,13696.0,390,390,2.926,72.51,5.82,33.43,35.12,27,159,1,10.46,alon
u3d3749fe94f7,382,61,1054,28292,2130,12967.0,13992.0,381,381,2.759,74.06,5.58,34.03,36.72,26,185,1,15.97,aloon
uab026a7dc67f,338,99,747,27678,1927,11221.0,12108.0,335,335,2.21,81.89,5.7,33.5,36.14,28,144,1,29.29,玩火星
u66d74bb150f1,313,62,813,22715,1721,10889.0,9047.0,311,311,2.597,72.57,5.5,35.01,29.09,32,143,1,19.81,番薯企鹅
u264ae5f51ae5,313,125,621,25611,1718,10984.0,10340.0,311,311,1.984,81.82,5.49,35.32,33.25,25,162,1,39.94,愿仔wish
uf9d58493c13c,300,130,611,26258,1675,10866.0,11937.0,300,300,2.037,87.53,5.58,36.22,39.79,22,171,1,43.33,ikun
u4352bd3577a0,293,59,729,22995,1601,10345.0,9486.0,291,291,2.488,78.48,5.46,35.55,32.6,26,153,1,20.14,bosir
ucfab59936c55,278,83,665,21032,1531,8764.0,9555.0,276,276,2.392,75.65,5.51,31.75,34.62,21,224,1,29.86,木星大哥被对面抓走啦
u4aef53cdf749,273,30,844,19143,1688,8527.0,10054.0,272,272,3.092,70.12,6.18,31.35,36.96,22,166,1,10.99,屈先生
723b8d61b666,230,60,559,19932,1668,8584.0,8615.0,230,230,2.43,86.66,7.25,37.32,37.46,49,157,1,26.09,书记
c1b6956fd829,222,83,486,19989,1290,6881.0,10452.0,221,221,2.189,90.04,5.81,31.14,47.29,20,241,1,37.39,万物
u51e773e1c2a6,217,66,497,17090,1182,7245.0,7209.0,215,215,2.29,78.76,5.45,33.7,33.53,28,168,1,30.41,tmr
52c1c5cbcd66,204,28,575,13820,1111,6841.0,6021.0,203,203,2.819,67.75,5.45,33.7,29.66,24,146,1,13.73,沐雨橙风
9cccf3a9b11b,203,63,441,16307,1116,6960.0,7162.0,202,202,2.172,80.33,5.5,34.46,35.46,41,197,1,31.03,yz
ef6915e9319e,200,93,389,17993,1148,6877.0,8718.0,191,191,1.945,89.96,5.74,36.01,45.64,31,258,1,46.5,woowoo
8068f8baa976,196,48,458,15577,1135,7653.0,6053.0,194,194,2.337,79.47,5.79,39.45,31.2,28,178,1,24.49,raaaay
ue89ecb8ddea4,194,75,397,16853,1111,6514.0,8140.0,192,192,2.046,86.87,5.73,33.93,42.4,40,164,1,38.66,居居雩
u89c3c8a98449,167,30,473,13533,986,5010.0,8561.0,167,167,2.832,81.04,5.9,30.0,51.26,28,228,1,17.96,无梦
