user_id,generations,game_count,max_score,max_cards_played,avg_score,avg_cards_played,user_name
13f9446ad048,4,8,85,26.0,69.75,20.75,6mmmm
13f9446ad048,5,17,110,46.0,82.24,29.59,6mmmm
13f9446ad048,6,11,145,71.0,95.0,42.0,6mmmm
13f9446ad048,7,6,203,94.0,122.17,52.83,6mmmm
141c3a29fa52,8,1,94,33.0,94.0,33.0,steamriki
141c3a29fa52,10,2,96,54.0,92.0,45.5,steamriki
1637240fb98f,5,4,81,44.0,78.25,25.75,点点
1637240fb98f,6,3,90,18.0,88.67,14.67,点点
1637240fb98f,7,2,89,40.0,79.0,33.0,点点
1637240fb98f,8,2,100,51.0,94.0,41.5,点点
1637240fb98f,9,1,103,46.0,103.0,46.0,点点
181fafd4960c,4,1,66,21.0,66.0,21.0,wjcxymy
181fafd4960c,5,5,88,42.0,77.0,33.0,wjcxymy
181fafd4960c,6,9,129,70.0,92.22,42.38,wjcxymy
181fafd4960c,7,1,117,57.0,117.0,57.0,wjcxymy
193d7a57381c,4,1,57,17.0,57.0,17.0,martin
193d7a57381c,5,7,78,27.0,65.71,20.86,martin
193d7a57381c,6,21,92,35.0,72.1,23.48,martin
193d7a57381c,7,37,124,50.0,82.84,32.03,martin
193d7a57381c,8,27,118,59.0,93.15,37.59,martin
193d7a57381c,9,3,123,54.0,110.67,44.67,martin
19b32659a584,4,1,48,12.0,48.0,12.0,unnamed
19b32659a584,6,1,87,25.0,87.0,25.0,unnamed
19ed288a5ec9,4,2,54,22.0,48.5,19.5,bsylh
19ed288a5ec9,5,38,97,65.0,68.87,29.32,bsylh
19ed288a5ec9,6,37,123,54.0,75.16,34.11,bsylh
19ed288a5ec9,7,11,169,75.0,95.91,45.18,bsylh
1c4298faa03b,5,2,58,31.0,54.0,30.5,kingofweisuo
1c4298faa03b,6,2,81,47.0,77.5,42.5,kingofweisuo
1c808236b9a4,7,2,88,25.0,73.0,25.0,莉莉
1c808236b9a4,8,2,114,33.0,96.0,32.5,莉莉
1d1e63383e09,5,1,43,23.0,43.0,23.0,火星监狱改造积极分子
1d1e63383e09,6,1,68,33.0,68.0,33.0,火星监狱改造积极分子
1d1e63383e09,7,1,67,25.0,67.0,25.0,火星监狱改造积极分子
1e6dac6d16e2,6,2,231,110.0,192.0,97.5,yuan
1e6dac6d16e2,7,3,102,52.0,91.0,43.0,yuan
1e6dac6d16e2,8,3,157,105.0,114.33,70.0,yuan
1eaa851a54e7,7,1,60,32.0,60.0,32.0,adonkey
1eaa851a54e7,8,1,52,37.0,52.0,37.0,adonkey
1f71e23ff3c4,4,6,72,34.0,55.17,25.0,xiyue
1f71e23ff3c4,5,34,104,58.0,64.91,30.71,xiyue
1f71e23ff3c4,6,21,122,66.0,83.67,40.38,xiyue
1f71e23ff3c4,7,7,127,60.0,104.71,51.29,xiyue
1f756f986b89,9,3,101,56.0,97.67,48.67,kimty
1f756f986b89,11,1,124,51.0,124.0,51.0,kimty
20a57d8251ab,5,5,74,34.0,57.2,27.6,wuser
20a57d8251ab,6,4,80,44.0,64.0,32.0,wuser
20a57d8251ab,7,2,120,64.0,109.0,62.0,wuser
22e0f97b8ec7,8,2,65,28.0,56.5,24.5,诗缘
23d55973c44b,4,1,45,16.0,45.0,16.0,Huasong
23d55973c44b,5,13,89,33.0,65.31,24.31,Huasong
23d55973c44b,6,12,82,45.0,70.58,29.67,Huasong
23d55973c44b,7,4,86,34.0,79.5,28.67,Huasong
2437e5810ba1,5,3,83,29.0,66.33,24.67,xiaojiang
2437e5810ba1,6,9,103,52.0,78.89,33.0,xiaojiang
2437e5810ba1,7,4,101,55.0,83.5,39.25,xiaojiang
2450c74ea170,4,2,50,29.0,45.0,27.0,晓黑
2450c74ea170,5,3,92,49.0,54.67,30.67,晓黑
2450c74ea170,6,2,69,36.0,68.5,31.5,晓黑
2450c74ea170,7,2,107,71.0,98.0,68.5,晓黑
